County,Precinct,Race,District,Party,Candidate ,Votes
Cloud,Arion,Attorney General ,,Dem,A.J. Kotich,8
Cloud,Aurora,Attorney General ,,Dem,A.J. Kotich,7
Cloud,Buffalo,Attorney General ,,Dem,A.J. Kotich,3
Cloud,Center,Attorney General ,,Dem,A.J. Kotich,2
Cloud,Colfax,Attorney General ,,Dem,A.J. Kotich,2
Cloud,Elk,Attorney General ,,Dem,A.J. Kotich,55
Cloud,Grant,Attorney General ,,Dem,A.J. Kotich,20
Cloud,N. Lawrence,Attorney General ,,Dem,A.J. Kotich,4
Cloud,S. Lawrence,Attorney General ,,Dem,A.J. Kotich,5
Cloud,E. Lincoln,Attorney General ,,Dem,A.J. Kotich,17
Cloud,W. Lincoln,Attorney General ,,Dem,A.J. Kotich,22
Cloud,Lyon,Attorney General ,,Dem,A.J. Kotich,4
Cloud,E. Meredith,Attorney General ,,Dem,A.J. Kotich,1
Cloud,W. Meredith,Attorney General ,,Dem,A.J. Kotich,3
Cloud,Nelson,Attorney General ,,Dem,A.J. Kotich,3
Cloud,Oakland,Attorney General ,,Dem,A.J. Kotich,1
Cloud,Shirley,Attorney General ,,Dem,A.J. Kotich,7
Cloud,Sibley,Attorney General ,,Dem,A.J. Kotich,17
Cloud,Solomon,Attorney General ,,Dem,A.J. Kotich,28
Cloud,Starr,Attorney General ,,Dem,A.J. Kotich,37
Cloud,Summitt,Attorney General ,,Dem,A.J. Kotich,2
Cloud,1st Ward,Attorney General ,,Dem,A.J. Kotich,63
Cloud,1st Pct 2nd Ward,Attorney General ,,Dem,A.J. Kotich,62
Cloud,2nd Pct 2nd Ward,Attorney General ,,Dem,A.J. Kotich,58
Cloud,3rd Ward,Attorney General ,,Dem,A.J. Kotich,75
Cloud,4th Ward,Attorney General ,,Dem,A.J. Kotich,41
Cloud,Arion,Attorney General ,,Rep,Derek Schmidt,23
Cloud,Aurora,Attorney General ,,Rep,Derek Schmidt,32
Cloud,Buffalo,Attorney General ,,Rep,Derek Schmidt,38
Cloud,Center,Attorney General ,,Rep,Derek Schmidt,65
Cloud,Colfax,Attorney General ,,Rep,Derek Schmidt,14
Cloud,Elk,Attorney General ,,Rep,Derek Schmidt,189
Cloud,Grant,Attorney General ,,Rep,Derek Schmidt,80
Cloud,N. Lawrence,Attorney General ,,Rep,Derek Schmidt,18
Cloud,S. Lawrence,Attorney General ,,Rep,Derek Schmidt,12
Cloud,E. Lincoln,Attorney General ,,Rep,Derek Schmidt,67
Cloud,W. Lincoln,Attorney General ,,Rep,Derek Schmidt,34
Cloud,Lyon,Attorney General ,,Rep,Derek Schmidt,32
Cloud,E. Meredith,Attorney General ,,Rep,Derek Schmidt,14
Cloud,W. Meredith,Attorney General ,,Rep,Derek Schmidt,9
Cloud,Nelson,Attorney General ,,Rep,Derek Schmidt,39
Cloud,Oakland,Attorney General ,,Rep,Derek Schmidt,19
Cloud,Shirley,Attorney General ,,Rep,Derek Schmidt,44
Cloud,Sibley,Attorney General ,,Rep,Derek Schmidt,52
Cloud,Solomon,Attorney General ,,Rep,Derek Schmidt,137
Cloud,Starr,Attorney General ,,Rep,Derek Schmidt,144
Cloud,Summitt,Attorney General ,,Rep,Derek Schmidt,23
Cloud,1st Ward,Attorney General ,,Rep,Derek Schmidt,131
Cloud,1st Pct 2nd Ward,Attorney General ,,Rep,Derek Schmidt,153
Cloud,2nd Pct 2nd Ward,Attorney General ,,Rep,Derek Schmidt,237
Cloud,3rd Ward,Attorney General ,,Rep,Derek Schmidt,266
Cloud,4th Ward,Attorney General ,,Rep,Derek Schmidt,123
Cloud,Arion,Commissioner of Insurance,,Dem,Dennis Anderson,6
Cloud,Aurora,Commissioner of Insurance,,Dem,Dennis Anderson,8
Cloud,Buffalo,Commissioner of Insurance,,Dem,Dennis Anderson,5
Cloud,Center,Commissioner of Insurance,,Dem,Dennis Anderson,9
Cloud,Colfax,Commissioner of Insurance,,Dem,Dennis Anderson,1
Cloud,Elk,Commissioner of Insurance,,Dem,Dennis Anderson,77
Cloud,Grant,Commissioner of Insurance,,Dem,Dennis Anderson,14
Cloud,N. Lawrence,Commissioner of Insurance,,Dem,Dennis Anderson,2
Cloud,S. Lawrence,Commissioner of Insurance,,Dem,Dennis Anderson,6
Cloud,E. Lincoln,Commissioner of Insurance,,Dem,Dennis Anderson,20
Cloud,W. Lincoln,Commissioner of Insurance,,Dem,Dennis Anderson,22
Cloud,Lyon,Commissioner of Insurance,,Dem,Dennis Anderson,7
Cloud,E. Meredith,Commissioner of Insurance,,Dem,Dennis Anderson,2
Cloud,W. Meredith,Commissioner of Insurance,,Dem,Dennis Anderson,4
Cloud,Nelson,Commissioner of Insurance,,Dem,Dennis Anderson,4
Cloud,Oakland,Commissioner of Insurance,,Dem,Dennis Anderson,0
Cloud,Shirley,Commissioner of Insurance,,Dem,Dennis Anderson,9
Cloud,Sibley,Commissioner of Insurance,,Dem,Dennis Anderson,19
Cloud,Solomon,Commissioner of Insurance,,Dem,Dennis Anderson,43
Cloud,Starr,Commissioner of Insurance,,Dem,Dennis Anderson,41
Cloud,Summitt,Commissioner of Insurance,,Dem,Dennis Anderson,3
Cloud,1st Ward,Commissioner of Insurance,,Dem,Dennis Anderson,71
Cloud,1st Pct 2nd Ward,Commissioner of Insurance,,Dem,Dennis Anderson,71
Cloud,2nd Pct 2nd Ward,Commissioner of Insurance,,Dem,Dennis Anderson,83
Cloud,3rd Ward,Commissioner of Insurance,,Dem,Dennis Anderson,105
Cloud,4th Ward,Commissioner of Insurance,,Dem,Dennis Anderson,52
Cloud,Arion,Commissioner of Insurance,,Rep,Ken Selzer,25
Cloud,Aurora,Commissioner of Insurance,,Rep,Ken Selzer,32
Cloud,Buffalo,Commissioner of Insurance,,Rep,Ken Selzer,33
Cloud,Center,Commissioner of Insurance,,Rep,Ken Selzer,54
Cloud,Colfax,Commissioner of Insurance,,Rep,Ken Selzer,15
Cloud,Elk,Commissioner of Insurance,,Rep,Ken Selzer,155
Cloud,Grant,Commissioner of Insurance,,Rep,Ken Selzer,83
Cloud,N. Lawrence,Commissioner of Insurance,,Rep,Ken Selzer,16
Cloud,S. Lawrence,Commissioner of Insurance,,Rep,Ken Selzer,12
Cloud,E. Lincoln,Commissioner of Insurance,,Rep,Ken Selzer,62
Cloud,W. Lincoln,Commissioner of Insurance,,Rep,Ken Selzer,33
Cloud,Lyon,Commissioner of Insurance,,Rep,Ken Selzer,26
Cloud,E. Meredith,Commissioner of Insurance,,Rep,Ken Selzer,13
Cloud,W. Meredith,Commissioner of Insurance,,Rep,Ken Selzer,8
Cloud,Nelson,Commissioner of Insurance,,Rep,Ken Selzer,36
Cloud,Oakland,Commissioner of Insurance,,Rep,Ken Selzer,17
Cloud,Shirley,Commissioner of Insurance,,Rep,Ken Selzer,38
Cloud,Sibley,Commissioner of Insurance,,Rep,Ken Selzer,48
Cloud,Solomon,Commissioner of Insurance,,Rep,Ken Selzer,116
Cloud,Starr,Commissioner of Insurance,,Rep,Ken Selzer,135
Cloud,Summitt,Commissioner of Insurance,,Rep,Ken Selzer,22
Cloud,1st Ward,Commissioner of Insurance,,Rep,Ken Selzer,122
Cloud,1st Pct 2nd Ward,Commissioner of Insurance,,Rep,Ken Selzer,143
Cloud,2nd Pct 2nd Ward,Commissioner of Insurance,,Rep,Ken Selzer,199
Cloud,3rd Ward,Commissioner of Insurance,,Rep,Ken Selzer,229
Cloud,4th Ward,Commissioner of Insurance,,Rep,Ken Selzer,108
Cloud,Arion,Governor,,Lib,Keen Umbehr,1
Cloud,Aurora,Governor,,Lib,Keen Umbehr,1
Cloud,Buffalo,Governor,,Lib,Keen Umbehr,1
Cloud,Center,Governor,,Lib,Keen Umbehr,2
Cloud,Colfax,Governor,,Lib,Keen Umbehr,0
Cloud,Elk,Governor,,Lib,Keen Umbehr,13
Cloud,Grant,Governor,,Lib,Keen Umbehr,5
Cloud,N. Lawrence,Governor,,Lib,Keen Umbehr,2
Cloud,S. Lawrence,Governor,,Lib,Keen Umbehr,2
Cloud,E. Lincoln,Governor,,Lib,Keen Umbehr,2
Cloud,W. Lincoln,Governor,,Lib,Keen Umbehr,0
Cloud,Lyon,Governor,,Lib,Keen Umbehr,1
Cloud,E. Meredith,Governor,,Lib,Keen Umbehr,0
Cloud,W. Meredith,Governor,,Lib,Keen Umbehr,0
Cloud,Nelson,Governor,,Lib,Keen Umbehr,0
Cloud,Oakland,Governor,,Lib,Keen Umbehr,0
Cloud,Shirley,Governor,,Lib,Keen Umbehr,5
Cloud,Sibley,Governor,,Lib,Keen Umbehr,0
Cloud,Solomon,Governor,,Lib,Keen Umbehr,19
Cloud,Starr,Governor,,Lib,Keen Umbehr,12
Cloud,Summitt,Governor,,Lib,Keen Umbehr,1
Cloud,1st Ward,Governor,,Lib,Keen Umbehr,10
Cloud,1st Pct 2nd Ward,Governor,,Lib,Keen Umbehr,8
Cloud,2nd Pct 2nd Ward,Governor,,Lib,Keen Umbehr,10
Cloud,3rd Ward,Governor,,Lib,Keen Umbehr,16
Cloud,4th Ward,Governor,,Lib,Keen Umbehr,8
Cloud,Arion,Governor,,Dem,Paul Davis,11
Cloud,Aurora,Governor,,Dem,Paul Davis,14
Cloud,Buffalo,Governor,,Dem,Paul Davis,10
Cloud,Center,Governor,,Dem,Paul Davis,15
Cloud,Colfax,Governor,,Dem,Paul Davis,1
Cloud,Elk,Governor,,Dem,Paul Davis,100
Cloud,Grant,Governor,,Dem,Paul Davis,30
Cloud,N. Lawrence,Governor,,Dem,Paul Davis,7
Cloud,S. Lawrence,Governor,,Dem,Paul Davis,5
Cloud,E. Lincoln,Governor,,Dem,Paul Davis,23
Cloud,W. Lincoln,Governor,,Dem,Paul Davis,20
Cloud,Lyon,Governor,,Dem,Paul Davis,10
Cloud,E. Meredith,Governor,,Dem,Paul Davis,5
Cloud,W. Meredith,Governor,,Dem,Paul Davis,5
Cloud,Nelson,Governor,,Dem,Paul Davis,4
Cloud,Oakland,Governor,,Dem,Paul Davis,0
Cloud,Shirley,Governor,,Dem,Paul Davis,15
Cloud,Sibley,Governor,,Dem,Paul Davis,30
Cloud,Solomon,Governor,,Dem,Paul Davis,43
Cloud,Starr,Governor,,Dem,Paul Davis,48
Cloud,Summitt,Governor,,Dem,Paul Davis,2
Cloud,1st Ward,Governor,,Dem,Paul Davis,91
Cloud,1st Pct 2nd Ward,Governor,,Dem,Paul Davis,110
Cloud,2nd Pct 2nd Ward,Governor,,Dem,Paul Davis,116
Cloud,3rd Ward,Governor,,Dem,Paul Davis,150
Cloud,4th Ward,Governor,,Dem,Paul Davis,67
Cloud,Arion,Governor,,Rep,Sam Brownback,19
Cloud,Aurora,Governor,,Rep,Sam Brownback,28
Cloud,Buffalo,Governor,,Rep,Sam Brownback,32
Cloud,Center,Governor,,Rep,Sam Brownback,52
Cloud,Colfax,Governor,,Rep,Sam Brownback,16
Cloud,Elk,Governor,,Rep,Sam Brownback,152
Cloud,Grant,Governor,,Rep,Sam Brownback,68
Cloud,N. Lawrence,Governor,,Rep,Sam Brownback,13
Cloud,S. Lawrence,Governor,,Rep,Sam Brownback,11
Cloud,E. Lincoln,Governor,,Rep,Sam Brownback,58
Cloud,W. Lincoln,Governor,,Rep,Sam Brownback,35
Cloud,Lyon,Governor,,Rep,Sam Brownback,26
Cloud,E. Meredith,Governor,,Rep,Sam Brownback,10
Cloud,W. Meredith,Governor,,Rep,Sam Brownback,7
Cloud,Nelson,Governor,,Rep,Sam Brownback,38
Cloud,Oakland,Governor,,Rep,Sam Brownback,21
Cloud,Shirley,Governor,,Rep,Sam Brownback,35
Cloud,Sibley,Governor,,Rep,Sam Brownback,40
Cloud,Solomon,Governor,,Rep,Sam Brownback,103
Cloud,Starr,Governor,,Rep,Sam Brownback,126
Cloud,Summitt,Governor,,Rep,Sam Brownback,23
Cloud,1st Ward,Governor,,Rep,Sam Brownback,97
Cloud,1st Pct 2nd Ward,Governor,,Rep,Sam Brownback,102
Cloud,2nd Pct 2nd Ward,Governor,,Rep,Sam Brownback,173
Cloud,3rd Ward,Governor,,Rep,Sam Brownback,183
Cloud,4th Ward,Governor,,Rep,Sam Brownback,91
Cloud,Arion,Secretary of State,,Dem,Jean Kurtis Schodorf,10
Cloud,Aurora,Secretary of State,,Dem,Jean Kurtis Schodorf,6
Cloud,Buffalo,Secretary of State,,Dem,Jean Kurtis Schodorf,7
Cloud,Center,Secretary of State,,Dem,Jean Kurtis Schodorf,12
Cloud,Colfax,Secretary of State,,Dem,Jean Kurtis Schodorf,0
Cloud,Elk,Secretary of State,,Dem,Jean Kurtis Schodorf,91
Cloud,Grant,Secretary of State,,Dem,Jean Kurtis Schodorf,19
Cloud,N. Lawrence,Secretary of State,,Dem,Jean Kurtis Schodorf,5
Cloud,S. Lawrence,Secretary of State,,Dem,Jean Kurtis Schodorf,3
Cloud,E. Lincoln,Secretary of State,,Dem,Jean Kurtis Schodorf,19
Cloud,W. Lincoln,Secretary of State,,Dem,Jean Kurtis Schodorf,17
Cloud,Lyon,Secretary of State,,Dem,Jean Kurtis Schodorf,9
Cloud,E. Meredith,Secretary of State,,Dem,Jean Kurtis Schodorf,3
Cloud,W. Meredith,Secretary of State,,Dem,Jean Kurtis Schodorf,4
Cloud,Nelson,Secretary of State,,Dem,Jean Kurtis Schodorf,3
Cloud,Oakland,Secretary of State,,Dem,Jean Kurtis Schodorf,1
Cloud,Shirley,Secretary of State,,Dem,Jean Kurtis Schodorf,11
Cloud,Sibley,Secretary of State,,Dem,Jean Kurtis Schodorf,25
Cloud,Solomon,Secretary of State,,Dem,Jean Kurtis Schodorf,39
Cloud,Starr,Secretary of State,,Dem,Jean Kurtis Schodorf,39
Cloud,Summitt,Secretary of State,,Dem,Jean Kurtis Schodorf,3
Cloud,1st Ward,Secretary of State,,Dem,Jean Kurtis Schodorf,75
Cloud,1st Pct 2nd Ward,Secretary of State,,Dem,Jean Kurtis Schodorf,86
Cloud,2nd Pct 2nd Ward,Secretary of State,,Dem,Jean Kurtis Schodorf,92
Cloud,3rd Ward,Secretary of State,,Dem,Jean Kurtis Schodorf,106
Cloud,4th Ward,Secretary of State,,Dem,Jean Kurtis Schodorf,53
Cloud,Arion,Secretary of State,,Rep,Kris Kobach,21
Cloud,Aurora,Secretary of State,,Rep,Kris Kobach,35
Cloud,Buffalo,Secretary of State,,Rep,Kris Kobach,34
Cloud,Center,Secretary of State,,Rep,Kris Kobach,58
Cloud,Colfax,Secretary of State,,Rep,Kris Kobach,16
Cloud,Elk,Secretary of State,,Rep,Kris Kobach,168
Cloud,Grant,Secretary of State,,Rep,Kris Kobach,83
Cloud,N. Lawrence,Secretary of State,,Rep,Kris Kobach,17
Cloud,S. Lawrence,Secretary of State,,Rep,Kris Kobach,15
Cloud,E. Lincoln,Secretary of State,,Rep,Kris Kobach,65
Cloud,W. Lincoln,Secretary of State,,Rep,Kris Kobach,39
