county,precinct,office,district,party,candidate,total,polls,advance,hand,provisional
Haskell,N Lockport,Attorney General,,D,A.J. Kotich,3,1,1,1,0
Haskell,Sub 3 H124,Attorney General,,D,A.J. Kotich,20,14,3,1,2
Haskell,Sat 2 H124,Attorney General,,D,A.J. Kotich,52,49,2,0,1
Haskell,S Lockport,Attorney General,,D,A.J. Kotich,6,5,1,0,0
Haskell,Ivanhoe,Attorney General,,D,A.J. Kotich,6,5,1,0,0
Haskell,Sub 1 122,Attorney General,,D,A.J. Kotich,2,2,0,0,0
Haskell,N Dudley,Attorney General,,D,A.J. Kotich,2,2,0,0,0
Haskell,Sub 1 H124,Attorney General,,D,A.J. Kotich,31,20,9,1,1
Haskell,Sat 1 124,Attorney General,,D,A.J. Kotich,11,9,0,0,2
Haskell,Sub 3 122,Attorney General,,D,A.J. Kotich,0,0,0,0,0
Haskell,Sat 2 122,Attorney General,,D,A.J. Kotich,2,1,1,0,0
Haskell,N Lockport,Attorney General,,R,Derek Schmidt,48,31,9,4,4
Haskell,Sub 3 H124,Attorney General,,R,Derek Schmidt,166,122,39,0,5
Haskell,Sat 2 H124,Attorney General,,R,Derek Schmidt,206,175,20,0,11
Haskell,S Lockport,Attorney General,,R,Derek Schmidt,33,31,2,0,0
Haskell,Ivanhoe,Attorney General,,R,Derek Schmidt,41,32,9,0,0
Haskell,Sub 1 122,Attorney General,,R,Derek Schmidt,17,17,0,0,0
Haskell,N Dudley,Attorney General,,R,Derek Schmidt,45,38,7,0,0
Haskell,Sub 1 H124,Attorney General,,R,Derek Schmidt,259,186,48,11,14
Haskell,Sat 1 124,Attorney General,,R,Derek Schmidt,46,38,3,2,3
Haskell,Sub 3 122,Attorney General,,R,Derek Schmidt,5,3,2,0,0
Haskell,Sat 2 122,Attorney General,,R,Derek Schmidt,17,10,7,0,0
Haskell,N Lockport,GOVERNOR,,L,Keen Umbehr,2,1,0,1,0
Haskell,Sub 3 H124,GOVERNOR,,L,Keen Umbehr,6,6,0,0,0
Haskell,Sat 2 H124,GOVERNOR,,L,Keen Umbehr,10,9,1,0,0
Haskell,S Lockport,GOVERNOR,,L,Keen Umbehr,1,0,1,0,0
Haskell,Ivanhoe,GOVERNOR,,L,Keen Umbehr,1,1,0,0,0
Haskell,Sub 1 122,GOVERNOR,,L,Keen Umbehr,2,2,0,0,0
Haskell,N Dudley,GOVERNOR,,L,Keen Umbehr,1,1,0,0,0
Haskell,Sub 1 H124,GOVERNOR,,L,Keen Umbehr,12,8,3,0,1
Haskell,Sat 1 124,GOVERNOR,,L,Keen Umbehr,1,0,0,0,1
Haskell,Sub 3 122,GOVERNOR,,L,Keen Umbehr,0,0,0,0,0
Haskell,Sat 2 122,GOVERNOR,,L,Keen Umbehr,0,0,0,0,0
Haskell,N Lockport,GOVERNOR,,D,Paul Davis,8,3,4,1,0
Haskell,Sub 3 H124,GOVERNOR,,D,Paul Davis,39,30,6,0,3
Haskell,Sat 2 H124,GOVERNOR,,D,Paul Davis,93,85,6,0,2
Haskell,S Lockport,GOVERNOR,,D,Paul Davis,9,8,1,0,0
Haskell,Ivanhoe,GOVERNOR,,D,Paul Davis,7,4,3,0,0
Haskell,Sub 1 122,GOVERNOR,,D,Paul Davis,2,2,0,0,0
Haskell,N Dudley,GOVERNOR,,D,Paul Davis,6,6,0,0,0
Haskell,Sub 1 H124,GOVERNOR,,D,Paul Davis,61,47,11,1,2
Haskell,Sat 1 124,GOVERNOR,,D,Paul Davis,11,10,0,0,1
Haskell,Sub 3 122,GOVERNOR,,D,Paul Davis,3,1,2,0,0
Haskell,Sat 2 122,GOVERNOR,,D,Paul Davis,3,2,1,0,0
Haskell,N Lockport,GOVERNOR,,R,Sam Brownback,43,29,7,3,4
Haskell,Sub 3 H124,GOVERNOR,,R,Sam Brownback,147,105,37,1,4
Haskell,Sat 2 H124,GOVERNOR,,R,Sam Brownback,160,135,15,0,10
Haskell,S Lockport,GOVERNOR,,R,Sam Brownback,34,33,1,0,0
Haskell,Ivanhoe,GOVERNOR,,R,Sam Brownback,41,34,7,0,0
Haskell,Sub 1 122,GOVERNOR,,R,Sam Brownback,15,15,0,0,0
Haskell,N Dudley,GOVERNOR,,R,Sam Brownback,40,33,7,0,0
Haskell,Sub 1 H124,GOVERNOR,,R,Sam Brownback,229,160,46,11,12
Haskell,Sat 1 124,GOVERNOR,,R,Sam Brownback,47,39,3,2,3
Haskell,Sub 3 122,GOVERNOR,,R,Sam Brownback,2,2,0,0,0
Haskell,Sat 2 122,GOVERNOR,,R,Sam Brownback,16,9,7,0,0
Haskell,N Lockport,State House,115,D,Mark Low,2,1,0,1,0
Haskell,S Lockport,State House,115,D,Mark Low,8,7,1,0,0
Haskell,N Lockport,State House,115,R,Ron Ryckman,50,31,11,4,4
Haskell,S Lockport,State House,115,R,Ron Ryckman,35,33,2,0,0
Haskell,Ivanhoe,State House,122,R,Russell Jennings,46,37,9,0,0
Haskell,Sub 1 122,State House,122,R,Russell Jennings,15,15,0,0,0
Haskell,N Dudley,State House,122,R,Russell Jennings,42,38,4,0,0
Haskell,Sub 3 122,State House,122,R,Russell Jennings,4,2,2,0,0
Haskell,Sat 2 122,State House,122,R,Russell Jennings,15,8,7,0,0
Haskell,Sub 3 H124,State House,124,R,Stephen Alford,167,123,36,1,7
Haskell,Sat 2 H124,State House,124,R,Stephen Alford,243,211,20,0,12
Haskell,Sub 1 H124,State House,124,R,Stephen Alford,250,187,48,2,13
Haskell,Sat 1 124,State House,124,R,Stephen Alford,49,41,3,0,5
Haskell,N Lockport,Insurance Commissioner,,D,Dennis Anderson,3,0,1,2,0
Haskell,Sub 3 H124,Insurance Commissioner,,D,Dennis Anderson,20,15,4,0,1
Haskell,Sat 2 H124,Insurance Commissioner,,D,Dennis Anderson,61,58,2,0,1
Haskell,S Lockport,Insurance Commissioner,,D,Dennis Anderson,10,9,1,0,0
Haskell,Ivanhoe,Insurance Commissioner,,D,Dennis Anderson,9,6,3,0,0
Haskell,Sub 1 122,Insurance Commissioner,,D,Dennis Anderson,2,2,0,0,0
Haskell,N Dudley,Insurance Commissioner,,D,Dennis Anderson,3,3,0,0,0
Haskell,Sub 1 H124,Insurance Commissioner,,D,Dennis Anderson,34,21,11,1,1
Haskell,Sat 1 124,Insurance Commissioner,,D,Dennis Anderson,11,9,1,0,1
Haskell,Sub 3 122,Insurance Commissioner,,D,Dennis Anderson,0,0,0,0,0
Haskell,Sat 2 122,Insurance Commissioner,,D,Dennis Anderson,1,1,0,0,0
Haskell,N Lockport,Insurance Commissioner,,R,Ken Selzer,48,32,9,3,4
Haskell,Sub 3 H124,Insurance Commissioner,,R,Ken Selzer,160,116,37,1,6
Haskell,Sat 2 H124,Insurance Commissioner,,R,Ken Selzer,190,160,19,0,11
Haskell,S Lockport,Insurance Commissioner,,R,Ken Selzer,29,27,2,0,0
Haskell,Ivanhoe,Insurance Commissioner,,R,Ken Selzer,38,32,6,0,0
Haskell,Sub 1 122,Insurance Commissioner,,R,Ken Selzer,17,17,0,0,0
Haskell,N Dudley,Insurance Commissioner,,R,Ken Selzer,41,34,7,0,0
Haskell,Sub 1 H124,Insurance Commissioner,,R,Ken Selzer,251,180,45,12,14
Haskell,Sat 1 124,Insurance Commissioner,,R,Ken Selzer,45,37,2,2,4
Haskell,Sub 3 122,Insurance Commissioner,,R,Ken Selzer,4,2,2,0,0
Haskell,Sat 2 122,Insurance Commissioner,,R,Ken Selzer,18,10,8,0,0
Haskell,N Lockport,Secretary of State,,D,Jean Kurtis Schodorf,5,2,2,1,0
Haskell,Sub 3 H124,Secretary of State,,D,Jean Kurtis Schodorf,25,20,4,0,1
Haskell,Sat 2 H124,Secretary of State,,D,Jean Kurtis Schodorf,70,65,2,0,3
Haskell,S Lockport,Secretary of State,,D,Jean Kurtis Schodorf,7,6,1,0,0
Haskell,Ivanhoe,Secretary of State,,D,Jean Kurtis Schodorf,8,5,3,0,0
Haskell,Sub 1 122,Secretary of State,,D,Jean Kurtis Schodorf,5,5,0,0,0
Haskell,N Dudley,Secretary of State,,D,Jean Kurtis Schodorf,6,6,0,0,0
Haskell,Sub 1 H124,Secretary of State,,D,Jean Kurtis Schodorf,52,37,11,2,2
Haskell,Sat 1 124,Secretary of State,,D,Jean Kurtis Schodorf,9,7,0,0,2
Haskell,Sub 3 122,Secretary of State,,D,Jean Kurtis Schodorf,1,1,0,0,0
Haskell,Sat 2 122,Secretary of State,,D,Jean Kurtis Schodorf,2,2,0,0,0
Haskell,N Lockport,Secretary of State,,R,Kris Kobach,46,31,7,4,4
Haskell,Sub 3 H124,Secretary of State,,R,Kris Kobach,163,118,38,1,6
Haskell,Sat 2 H124,Secretary of State,,R,Kris Kobach,191,161,21,0,9
Haskell,S Lockport,Secretary of State,,R,Kris Kobach,37,35,2,0,0
Haskell,Ivanhoe,Secretary of State,,R,Kris Kobach,41,34,7,0,0
Haskell,Sub 1 122,Secretary of State,,R,Kris Kobach,14,14,0,0,0
Haskell,N Dudley,Secretary of State,,R,Kris Kobach,41,34,7,0,0
Haskell,Sub 1 H124,Secretary of State,,R,Kris Kobach,246,173,49,11,13
Haskell,Sat 1 124,Secretary of State,,R,Kris Kobach,46,39,3,1,3
Haskell,Sub 3 122,Secretary of State,,R,Kris Kobach,4,2,2,0,0
Haskell,Sat 2 122,Secretary of State,,R,Kris Kobach,17,9,8,0,0
Haskell,N Lockport,State Treasurer,,D,Carmen Alldritt,3,1,1,1,0
Haskell,Sub 3 H124,State Treasurer,,D,Carmen Alldritt,12,8,3,0,1
Haskell,Sat 2 H124,State Treasurer,,D,Carmen Alldritt,39,37,1,0,1
Haskell,S Lockport,State Treasurer,,D,Carmen Alldritt,6,5,1,0,0
Haskell,Ivanhoe,State Treasurer,,D,Carmen Alldritt,7,5,2,0,0
Haskell,Sub 1 122,State Treasurer,,D,Carmen Alldritt,2,2,0,0,0
Haskell,N Dudley,State Treasurer,,D,Carmen Alldritt,3,3,0,0,0
Haskell,Sub 1 H124,State Treasurer,,D,Carmen Alldritt,27,17,5,3,2
Haskell,Sat 1 124,State Treasurer,,D,Carmen Alldritt,8,7,0,0,1
Haskell,Sub 3 122,State Treasurer,,D,Carmen Alldritt,2,0,2,0,0
Haskell,Sat 2 122,State Treasurer,,D,Carmen Alldritt,1,1,0,0,0
Haskell,N Lockport,State Treasurer,,R,Ron Estes,47,31,8,4,4
Haskell,Sub 3 H124,State Treasurer,,R,Ron Estes,171,124,40,1,6
Haskell,Sat 2 H124,State Treasurer,,R,Ron Estes,220,188,21,0,11
Haskell,S Lockport,State Treasurer,,R,Ron Estes,36,34,2,0,0
Haskell,Ivanhoe,State Treasurer,,R,Ron Estes,42,34,8,0,0
Haskell,Sub 1 122,State Treasurer,,R,Ron Estes,17,17,0,0,0
Haskell,N Dudley,State Treasurer,,R,Ron Estes,44,37,7,0,0
Haskell,Sub 1 H124,State Treasurer,,R,Ron Estes,271,193,55,10,13
Haskell,Sat 1 124,State Treasurer,,R,Ron Estes,50,41,3,2,4
Haskell,Sub 3 122,State Treasurer,,R,Ron Estes,3,3,0,0,0
Haskell,Sat 2 122,State Treasurer,,R,Ron Estes,18,10,8,0,0
Haskell,N Lockport,U.S. House,1,D,James E Sherow,7,1,4,2,0
Haskell,Sub 3 H124,U.S. House,1,D,James E Sherow,33,26,6,0,1
Haskell,Sat 2 H124,U.S. House,1,D,James E Sherow,77,73,2,0,2
Haskell,S Lockport,U.S. House,1,D,James E Sherow,5,4,1,0,0
Haskell,Ivanhoe,U.S. House,1,D,James E Sherow,13,9,4,0,0
Haskell,Sub 1 122,U.S. House,1,D,James E Sherow,3,3,0,0,0
Haskell,N Dudley,U.S. House,1,D,James E Sherow,7,7,0,0,0
Haskell,Sub 1 H124,U.S. House,1,D,James E Sherow,53,39,12,1,1
Haskell,Sat 1 124,U.S. House,1,D,James E Sherow,10,8,0,0,2
Haskell,Sub 3 122,U.S. House,1,D,James E Sherow,1,1,0,0,0
Haskell,Sat 2 122,U.S. House,1,D,James E Sherow,1,1,0,0,0
Haskell,N Lockport,U.S. House,1,R,Tim Huelskamp,45,31,7,3,4
Haskell,Sub 3 H124,U.S. House,1,R,Tim Huelskamp,156,112,37,1,6
Haskell,Sat 2 H124,U.S. House,1,R,Tim Huelskamp,184,154,20,0,10
Haskell,S Lockport,U.S. House,1,R,Tim Huelskamp,39,37,2,0,0
Haskell,Ivanhoe,U.S. House,1,R,Tim Huelskamp,36,30,6,0,0
Haskell,Sub 1 122,U.S. House,1,R,Tim Huelskamp,16,16,0,0,0
Haskell,N Dudley,U.S. House,1,R,Tim Huelskamp,39,32,7,0,0
Haskell,Sub 1 H124,U.S. House,1,R,Tim Huelskamp,247,172,50,11,14
Haskell,Sat 1 124,U.S. House,1,R,Tim Huelskamp,49,41,3,2,3
Haskell,Sub 3 122,U.S. House,1,R,Tim Huelskamp,4,2,2,0,0
Haskell,Sat 2 122,U.S. House,1,R,Tim Huelskamp,18,10,8,0,0
Haskell,N Lockport,U.S. Senate,,I,Greg Orman,4,0,3,1,0
Haskell,Sub 3 H124,U.S. Senate,,I,Greg Orman,33,24,6,0,3
Haskell,Sat 2 H124,U.S. Senate,,I,Greg Orman,67,60,6,0,1
Haskell,S Lockport,U.S. Senate,,I,Greg Orman,8,7,1,0,0
Haskell,Ivanhoe,U.S. Senate,,I,Greg Orman,7,4,3,0,0
Haskell,Sub 1 122,U.S. Senate,,I,Greg Orman,2,2,0,0,0
Haskell,N Dudley,U.S. Senate,,I,Greg Orman,5,4,1,0,0
Haskell,Sub 1 H124,U.S. Senate,,I,Greg Orman,50,34,13,2,1
Haskell,Sat 1 124,U.S. Senate,,I,Greg Orman,7,6,0,0,1
Haskell,Sub 3 122,U.S. Senate,,I,Greg Orman,3,1,2,0,0
Haskell,Sat 2 122,U.S. Senate,,I,Greg Orman,1,1,0,0,0
Haskell,N Lockport,U.S. Senate,,R,Pat Roberts,49,33,8,4,4
Haskell,Sub 3 H124,U.S. Senate,,R,Pat Roberts,154,113,36,1,4
Haskell,Sat 2 H124,U.S. Senate,,R,Pat Roberts,186,161,17,0,8
Haskell,S Lockport,U.S. Senate,,R,Pat Roberts,34,33,1,0,0
Haskell,Ivanhoe,U.S. Senate,,R,Pat Roberts,41,34,7,0,0
Haskell,Sub 1 122,U.S. Senate,,R,Pat Roberts,16,16,0,0,0
Haskell,N Dudley,U.S. Senate,,R,Pat Roberts,41,35,6,0,0
Haskell,Sub 1 H124,U.S. Senate,,R,Pat Roberts,243,175,45,10,13
Haskell,Sat 1 124,U.S. Senate,,R,Pat Roberts,47,39,3,2,3
Haskell,Sub 3 122,U.S. Senate,,R,Pat Roberts,1,1,0,0,0
Haskell,Sat 2 122,U.S. Senate,,R,Pat Roberts,17,9,8,0,0
Haskell,N Lockport,U.S. Senate,,L,Randall Batson,0,0,0,0,0
Haskell,Sub 3 H124,U.S. Senate,,L,Randall Batson,5,4,1,0,0
Haskell,Sat 2 H124,U.S. Senate,,L,Randall Batson,11,8,0,0,3
Haskell,S Lockport,U.S. Senate,,L,Randall Batson,3,2,1,0,0
Haskell,Ivanhoe,U.S. Senate,,L,Randall Batson,0,0,0,0,0
Haskell,Sub 1 122,U.S. Senate,,L,Randall Batson,2,2,0,0,0
Haskell,N Dudley,U.S. Senate,,L,Randall Batson,0,0,0,0,0
Haskell,Sub 1 H124,U.S. Senate,,L,Randall Batson,8,5,1,1,1
Haskell,Sat 1 124,U.S. Senate,,L,Randall Batson,4,3,0,0,1
Haskell,Sub 3 122,U.S. Senate,,L,Randall Batson,1,1,0,0,0
Haskell,Sat 2 122,U.S. Senate,,L,Randall Batson,1,1,0,0,0