county,precinct,office,district,party,candidate,votes,advance,polls
Miami,EMC(2),Voters,,,Registered,178,,
Miami,EMC(3),Voters,,,Registered,588,,
Miami,EV,Voters,,,Registered,300,,
Miami,FC,Voters,,,Registered,104,,
Miami,LC 01,Voters,,,Registered,564,,
Miami,LC 02,Voters,,,Registered,725,,
Miami,LC 03,Voters,,,Registered,705,,
Miami,LC 04,Voters,,,Registered,657,,
Miami,MI,Voters,,,Registered,380,,
Miami,MND,Voters,,,Registered,477,,
Miami,NMV(2),Voters,,,Registered,190,,
Miami,NMV(3),Voters,,,Registered,555,,
Miami,NPW,Voters,,,Registered,328,,
Miami,NPE Prt1,Voters,,,Registered,14,,
Miami,NPE Prt2,Voters,,,Registered,105,,
Miami,NW,Voters,,,Registered,457,,
Miami,OSAGE,Voters,,,Registered,312,,
Miami,OC 01,Voters,,,Registered,468,,
Miami,OC 02,Voters,,,Registered,593,,
Miami,OC 03,Voters,,,Registered,633,,
Miami,OC 04,Voters,,,Registered,481,,
Miami,OSA TWP,Voters,,,Registered,481,,
Miami,PC 01,Voters,,,Registered,846,,
Miami,PC 02,Voters,,,Registered,836,,
Miami,PC 03,Voters,,,Registered,842,,
Miami,PC 04,Voters,,,Registered,943,,
Miami,RICH,Voters,,,Registered,1413,,
Miami,SMV(3),Voters,,,Registered,21,,
Miami,SMV(2),Voters,,,Registered,950,,
Miami,SPE Prt2,Voters,,,Registered,136,,
Miami,SPW,Voters,,,Registered,220,,
Miami,SW,Voters,,,Registered,996,,
Miami,SH 01,Voters,,,Registered,1107,,
Miami,SH 02,Voters,,,Registered,292,,
Miami,SH 03,Voters,,,Registered,69,,
Miami,STAN 368,Voters,,,Registered,439,,
Miami,STAN 367,Voters,,,Registered,194,,
Miami,SC,Voters,,,Registered,319,,
Miami,TM,Voters,,,Registered,1007,,
Miami,WMC 416,Voters,,,Registered,139,,
Miami,WMC 368,Voters,,,Registered,394,,
Miami,WV(6),Voters,,,Registered,184,,
Miami,WV(12) 368,Voters,,,Registered,95,,
Miami,WV(12) 367,Voters,,,Registered,187,,
Miami,WV(5),Voters,,,Registered,201,,
Miami,EMC(2),Voters,,,Cast,92,,
Miami,EMC(3),Voters,,,Cast,336,,
Miami,EV,Voters,,,Cast,177,,
Miami,FC,Voters,,,Cast,46,,
Miami,LC 01,Voters,,,Cast,269,,
Miami,LC 02,Voters,,,Cast,338,,
Miami,LC 03,Voters,,,Cast,332,,
Miami,LC 04,Voters,,,Cast,319,,
Miami,MI,Voters,,,Cast,219,,
Miami,MND,Voters,,,Cast,249,,
Miami,NMV(2),Voters,,,Cast,108,,
Miami,NMV(3),Voters,,,Cast,309,,
Miami,NPW,Voters,,,Cast,187,,
Miami,NPE Prt1,Voters,,,Cast,9,,
Miami,NPE Prt2,Voters,,,Cast,70,,
Miami,NW,Voters,,,Cast,265,,
Miami,OSAGE,Voters,,,Cast,173,,
Miami,OC 01,Voters,,,Cast,172,,
Miami,OC 02,Voters,,,Cast,278,,
Miami,OC 03,Voters,,,Cast,299,,
Miami,OC 04,Voters,,,Cast,153,,
Miami,OSA TWP,Voters,,,Cast,260,,
Miami,PC 01,Voters,,,Cast,403,,
Miami,PC 02,Voters,,,Cast,319,,
Miami,PC 03,Voters,,,Cast,402,,
Miami,PC 04,Voters,,,Cast,451,,
Miami,RICH,Voters,,,Cast,764,,
Miami,SMV(3),Voters,,,Cast,7,,
Miami,SMV(2),Voters,,,Cast,523,,
Miami,SPE Prt2,Voters,,,Cast,74,,
Miami,SPW,Voters,,,Cast,113,,
Miami,SW,Voters,,,Cast,591,,
Miami,SH 01,Voters,,,Cast,454,,
Miami,SH 02,Voters,,,Cast,137,,
Miami,SH 03,Voters,,,Cast,39,,
Miami,STAN 368,Voters,,,Cast,214,,
Miami,STAN 367,Voters,,,Cast,106,,
Miami,SC,Voters,,,Cast,173,,
Miami,TM,Voters,,,Cast,559,,
Miami,WMC 416,Voters,,,Cast,65,,
Miami,WMC 368,Voters,,,Cast,215,,
Miami,WV(6),Voters,,,Cast,97,,
Miami,WV(12) 368,Voters,,,Cast,46,,
Miami,WV(12) 367,Voters,,,Cast,119,,
Miami,WV(5),Voters,,,Cast,96,,
Miami,EMC(2),U.S. Senate,,I,Greg Orman,26,12,38
Miami,EMC(3),U.S. Senate,,I,Greg Orman,94,22,116
Miami,EV,U.S. Senate,,I,Greg Orman,48,17,65
Miami,FC,U.S. Senate,,I,Greg Orman,16,3,19
Miami,LC 01,U.S. Senate,,I,Greg Orman,88,20,108
Miami,LC 02,U.S. Senate,,I,Greg Orman,121,13,134
Miami,LC 03,U.S. Senate,,I,Greg Orman,100,23,123
Miami,LC 04,U.S. Senate,,I,Greg Orman,102,18,120
Miami,MI,U.S. Senate,,I,Greg Orman,55,17,72
Miami,MND,U.S. Senate,,I,Greg Orman,70,32,102
Miami,NMV(2),U.S. Senate,,I,Greg Orman,18,6,24
Miami,NMV(3),U.S. Senate,,I,Greg Orman,86,35,121
Miami,NPW,U.S. Senate,,I,Greg Orman,49,23,72
Miami,NPE Prt1,U.S. Senate,,I,Greg Orman,5,0,5
Miami,NPE Prt2,U.S. Senate,,I,Greg Orman,13,6,19
Miami,NW,U.S. Senate,,I,Greg Orman,69,12,81
Miami,OSAGE,U.S. Senate,,I,Greg Orman,55,17,72
Miami,OC 01,U.S. Senate,,I,Greg Orman,63,26,89
Miami,OC 02,U.S. Senate,,I,Greg Orman,96,35,131
Miami,OC 03,U.S. Senate,,I,Greg Orman,108,44,152
Miami,OC 04,U.S. Senate,,I,Greg Orman,56,17,73
Miami,OSA TWP,U.S. Senate,,I,Greg Orman,78,31,109
Miami,PC 01,U.S. Senate,,I,Greg Orman,86,84,170
Miami,PC 02,U.S. Senate,,I,Greg Orman,91,59,150
Miami,PC 03,U.S. Senate,,I,Greg Orman,103,69,172
Miami,PC 04,U.S. Senate,,I,Greg Orman,104,83,187
Miami,RICH,U.S. Senate,,I,Greg Orman,147,87,234
Miami,SMV(3),U.S. Senate,,I,Greg Orman,2,0,2
Miami,SMV(2),U.S. Senate,,I,Greg Orman,129,64,193
Miami,SPE Prt2,U.S. Senate,,I,Greg Orman,18,12,30
Miami,SPW,U.S. Senate,,I,Greg Orman,30,22,52
Miami,SW,U.S. Senate,,I,Greg Orman,113,36,149
Miami,SH 01,U.S. Senate,,I,Greg Orman,139,26,165
Miami,SH 02,U.S. Senate,,I,Greg Orman,38,24,62
Miami,SH 03,U.S. Senate,,I,Greg Orman,13,2,15
Miami,STAN 368,U.S. Senate,,I,Greg Orman,52,40,92
Miami,STAN 367,U.S. Senate,,I,Greg Orman,19,15,34
Miami,SC,U.S. Senate,,I,Greg Orman,41,10,51
Miami,TM,U.S. Senate,,I,Greg Orman,124,49,173
Miami,WMC 416,U.S. Senate,,I,Greg Orman,18,5,23
Miami,WMC 368,U.S. Senate,,I,Greg Orman,38,23,61
Miami,WV(6),U.S. Senate,,I,Greg Orman,17,25,42
Miami,WV(12) 368,U.S. Senate,,I,Greg Orman,12,5,17
Miami,WV(12) 367,U.S. Senate,,I,Greg Orman,31,22,53
Miami,WV(5),U.S. Senate,,I,Greg Orman,30,10,40
Miami,EMC(2),U.S. Senate,,R,Pat Roberts,46,6,52
Miami,EMC(3),U.S. Senate,,R,Pat Roberts,172,42,214
Miami,EV,U.S. Senate,,R,Pat Roberts,76,29,105
Miami,FC,U.S. Senate,,R,Pat Roberts,18,4,22
Miami,LC 01,U.S. Senate,,R,Pat Roberts,110,25,135
Miami,LC 02,U.S. Senate,,R,Pat Roberts,172,19,191
Miami,LC 03,U.S. Senate,,R,Pat Roberts,168,21,189
Miami,LC 04,U.S. Senate,,R,Pat Roberts,157,23,180
Miami,MI,U.S. Senate,,R,Pat Roberts,103,29,132
Miami,MND,U.S. Senate,,R,Pat Roberts,103,29,132
Miami,NMV(2),U.S. Senate,,R,Pat Roberts,62,17,79
Miami,NMV(3),U.S. Senate,,R,Pat Roberts,155,25,180
Miami,NPW,U.S. Senate,,R,Pat Roberts,78,31,109
Miami,NPE Prt1,U.S. Senate,,R,Pat Roberts,3,1,4
Miami,NPE Prt2,U.S. Senate,,R,Pat Roberts,38,8,46
Miami,NW,U.S. Senate,,R,Pat Roberts,162,14,176
Miami,OSAGE,U.S. Senate,,R,Pat Roberts,87,8,95
Miami,OC 01,U.S. Senate,,R,Pat Roberts,58,19,77
Miami,OC 02,U.S. Senate,,R,Pat Roberts,90,25,115
Miami,OC 03,U.S. Senate,,R,Pat Roberts,99,29,128
Miami,OC 04,U.S. Senate,,R,Pat Roberts,52,14,66
Miami,OSA TWP,U.S. Senate,,R,Pat Roberts,110,30,140
Miami,PC 01,U.S. Senate,,R,Pat Roberts,134,84,218
Miami,PC 02,U.S. Senate,,R,Pat Roberts,106,39,145
Miami,PC 03,U.S. Senate,,R,Pat Roberts,143,65,208
Miami,PC 04,U.S. Senate,,R,Pat Roberts,137,97,234
Miami,RICH,U.S. Senate,,R,Pat Roberts,354,142,496
Miami,SMV(3),U.S. Senate,,R,Pat Roberts,5,0,5
Miami,SMV(2),U.S. Senate,,R,Pat Roberts,247,58,305
Miami,SPE Prt2,U.S. Senate,,R,Pat Roberts,24,12,36
Miami,SPW,U.S. Senate,,R,Pat Roberts,43,12,55
Miami,SW,U.S. Senate,,R,Pat Roberts,358,67,425
Miami,SH 01,U.S. Senate,,R,Pat Roberts,245,22,267
Miami,SH 02,U.S. Senate,,R,Pat Roberts,57,14,71
Miami,SH 03,U.S. Senate,,R,Pat Roberts,18,5,23
Miami,STAN 368,U.S. Senate,,R,Pat Roberts,61,53,114
Miami,STAN 367,U.S. Senate,,R,Pat Roberts,56,12,68
Miami,SC,U.S. Senate,,R,Pat Roberts,96,19,115
Miami,TM,U.S. Senate,,R,Pat Roberts,297,66,363
Miami,WMC 416,U.S. Senate,,R,Pat Roberts,28,14,42
Miami,WMC 368,U.S. Senate,,R,Pat Roberts,104,41,145
Miami,WV(6),U.S. Senate,,R,Pat Roberts,28,27,55
Miami,WV(12) 368,U.S. Senate,,R,Pat Roberts,21,7,28
Miami,WV(12) 367,U.S. Senate,,R,Pat Roberts,41,15,56
Miami,WV(5),U.S. Senate,,R,Pat Roberts,40,9,49
Miami,EMC(2),U.S. Senate,,L,Randall Batson,2,0,2
Miami,EMC(3),U.S. Senate,,L,Randall Batson,5,1,6
Miami,EV,U.S. Senate,,L,Randall Batson,3,2,5
Miami,FC,U.S. Senate,,L,Randall Batson,5,0,5
Miami,LC 01,U.S. Senate,,L,Randall Batson,18,3,21
Miami,LC 02,U.S. Senate,,L,Randall Batson,11,1,12
Miami,LC 03,U.S. Senate,,L,Randall Batson,13,3,16
Miami,LC 04,U.S. Senate,,L,Randall Batson,10,2,12
Miami,MI,U.S. Senate,,L,Randall Batson,8,1,9
Miami,MND,U.S. Senate,,L,Randall Batson,12,2,14
Miami,NMV(2),U.S. Senate,,L,Randall Batson,3,2,5
Miami,NMV(3),U.S. Senate,,L,Randall Batson,4,0,4
Miami,NPW,U.S. Senate,,L,Randall Batson,4,0,4
Miami,NPE Prt1,U.S. Senate,,L,Randall Batson,0,0,0
Miami,NPE Prt2,U.S. Senate,,L,Randall Batson,5,0,5
Miami,NW,U.S. Senate,,L,Randall Batson,6,1,7
Miami,OSAGE,U.S. Senate,,L,Randall Batson,4,1,5
Miami,OC 01,U.S. Senate,,L,Randall Batson,3,2,5
Miami,OC 02,U.S. Senate,,L,Randall Batson,16,7,23
Miami,OC 03,U.S. Senate,,L,Randall Batson,10,7,17
Miami,OC 04,U.S. Senate,,L,Randall Batson,11,0,11
Miami,OSA TWP,U.S. Senate,,L,Randall Batson,7,1,8
Miami,PC 01,U.S. Senate,,L,Randall Batson,4,7,11
Miami,PC 02,U.S. Senate,,L,Randall Batson,10,6,16
Miami,PC 03,U.S. Senate,,L,Randall Batson,8,6,14
Miami,PC 04,U.S. Senate,,L,Randall Batson,9,14,23
Miami,RICH,U.S. Senate,,L,Randall Batson,24,4,28
Miami,SMV(3),U.S. Senate,,L,Randall Batson,0,0,0
Miami,SMV(2),U.S. Senate,,L,Randall Batson,19,0,19
Miami,SPE Prt2,U.S. Senate,,L,Randall Batson,3,2,5
Miami,SPW,U.S. Senate,,L,Randall Batson,2,3,5
Miami,SW,U.S. Senate,,L,Randall Batson,7,3,10
Miami,SH 01,U.S. Senate,,L,Randall Batson,18,2,20
Miami,SH 02,U.S. Senate,,L,Randall Batson,1,1,2
Miami,SH 03,U.S. Senate,,L,Randall Batson,1,0,1
Miami,STAN 368,U.S. Senate,,L,Randall Batson,4,3,7
Miami,STAN 367,U.S. Senate,,L,Randall Batson,4,0,4
Miami,SC,U.S. Senate,,L,Randall Batson,4,1,5
Miami,TM,U.S. Senate,,L,Randall Batson,15,2,17
Miami,WMC 416,U.S. Senate,,L,Randall Batson,0,0,0
Miami,WMC 368,U.S. Senate,,L,Randall Batson,5,3,8
Miami,WV(6),U.S. Senate,,L,Randall Batson,0,0,0
Miami,WV(12) 368,U.S. Senate,,L,Randall Batson,1,0,1
Miami,WV(12) 367,U.S. Senate,,L,Randall Batson,7,3,10
Miami,WV(5),U.S. Senate,,L,Randall Batson,4,2,6
Miami,EMC(2),U.S. Senate,,,Write-ins,0,0,0
Miami,EMC(3),U.S. Senate,,,Write-ins,0,0,0
Miami,EV,U.S. Senate,,,Write-ins,0,1,1
Miami,FC,U.S. Senate,,,Write-ins,0,0,0
Miami,LC 01,U.S. Senate,,,Write-ins,0,0,0
Miami,LC 02,U.S. Senate,,,Write-ins,0,1,1
Miami,LC 03,U.S. Senate,,,Write-ins,0,0,0
Miami,LC 04,U.S. Senate,,,Write-ins,0,1,1
Miami,MI,U.S. Senate,,,Write-ins,0,0,0
Miami,MND,U.S. Senate,,,Write-ins,0,0,0
Miami,NMV(2),U.S. Senate,,,Write-ins,0,0,0
Miami,NMV(3),U.S. Senate,,,Write-ins,1,0,1
Miami,NPW,U.S. Senate,,,Write-ins,0,0,0
Miami,NPE Prt1,U.S. Senate,,,Write-ins,0,0,0
Miami,NPE Prt2,U.S. Senate,,,Write-ins,0,0,0
Miami,NW,U.S. Senate,,,Write-ins,0,0,0
Miami,OSAGE,U.S. Senate,,,Write-ins,0,0,0
Miami,OC 01,U.S. Senate,,,Write-ins,0,0,0
Miami,OC 02,U.S. Senate,,,Write-ins,2,3,5
Miami,OC 03,U.S. Senate,,,Write-ins,0,0,0
Miami,OC 04,U.S. Senate,,,Write-ins,0,0,0
Miami,OSA TWP,U.S. Senate,,,Write-ins,0,0,0
Miami,PC 01,U.S. Senate,,,Write-ins,0,0,0
Miami,PC 02,U.S. Senate,,,Write-ins,0,0,0
Miami,PC 03,U.S. Senate,,,Write-ins,1,0,1
Miami,PC 04,U.S. Senate,,,Write-ins,0,0,0
Miami,RICH,U.S. Senate,,,Write-ins,0,0,0
Miami,SMV(3),U.S. Senate,,,Write-ins,0,0,0
Miami,SMV(2),U.S. Senate,,,Write-ins,1,0,1
Miami,SPE Prt2,U.S. Senate,,,Write-ins,0,0,0
Miami,SPW,U.S. Senate,,,Write-ins,0,0,0
Miami,SW,U.S. Senate,,,Write-ins,0,0,0
Miami,SH 01,U.S. Senate,,,Write-ins,0,0,0
Miami,SH 02,U.S. Senate,,,Write-ins,0,0,0
Miami,SH 03,U.S. Senate,,,Write-ins,0,0,0
Miami,STAN 368,U.S. Senate,,,Write-ins,1,0,1
Miami,STAN 367,U.S. Senate,,,Write-ins,0,0,0
Miami,SC,U.S. Senate,,,Write-ins,0,0,0
Miami,TM,U.S. Senate,,,Write-ins,1,0,1
Miami,WMC 416,U.S. Senate,,,Write-ins,0,0,0
Miami,WMC 368,U.S. Senate,,,Write-ins,0,0,0
Miami,WV(6),U.S. Senate,,,Write-ins,0,0,0
Miami,WV(12) 368,U.S. Senate,,,Write-ins,0,0,0
Miami,WV(12) 367,U.S. Senate,,,Write-ins,0,0,0
Miami,WV(5),U.S. Senate,,,Write-ins,0,1,1
Miami,EMC(2),U.S. House,2,D,Margie Wakefield,14,6,20
Miami,EV,U.S. House,2,D,Margie Wakefield,28,14,42
Miami,FC,U.S. House,2,D,Margie Wakefield,12,1,13
Miami,MI,U.S. House,2,D,Margie Wakefield,35,12,47
Miami,MND,U.S. House,2,D,Margie Wakefield,49,26,75
Miami,NMV(2),U.S. House,2,D,Margie Wakefield,10,4,14
Miami,NPW,U.S. House,2,D,Margie Wakefield,31,16,47
Miami,NPE Prt1,U.S. House,2,D,Margie Wakefield,2,0,2
Miami,NPE Prt2,U.S. House,2,D,Margie Wakefield,7,5,12
Miami,OSAGE,U.S. House,2,D,Margie Wakefield,39,12,51
Miami,OC 01,U.S. House,2,D,Margie Wakefield,37,29,66
Miami,OC 02,U.S. House,2,D,Margie Wakefield,68,27,95
Miami,OC 03,U.S. House,2,D,Margie Wakefield,83,33,116
Miami,OC 04,U.S. House,2,D,Margie Wakefield,44,8,52
Miami,OSA TWP,U.S. House,2,D,Margie Wakefield,53,25,78
Miami,PC 01,U.S. House,2,D,Margie Wakefield,49,62,111
Miami,PC 02,U.S. House,2,D,Margie Wakefield,60,41,101
Miami,PC 03,U.S. House,2,D,Margie Wakefield,63,57,120
Miami,PC 04,U.S. House,2,D,Margie Wakefield,60,61,121
Miami,RICH,U.S. House,2,D,Margie Wakefield,89,66,155
Miami,SMV(2),U.S. House,2,D,Margie Wakefield,76,45,121
Miami,SPE Prt2,U.S. House,2,D,Margie Wakefield,11,9,20
Miami,SPW,U.S. House,2,D,Margie Wakefield,18,12,30
Miami,STAN 368,U.S. House,2,D,Margie Wakefield,25,22,47
Miami,STAN 367,U.S. House,2,D,Margie Wakefield,12,14,26
Miami,SC,U.S. House,2,D,Margie Wakefield,23,4,27
Miami,WMC 416,U.S. House,2,D,Margie Wakefield,8,4,12
Miami,WMC 368,U.S. House,2,D,Margie Wakefield,22,18,40
Miami,WV(6),U.S. House,2,D,Margie Wakefield,10,18,28
Miami,WV(12) 368,U.S. House,2,D,Margie Wakefield,4,3,7
Miami,WV(12) 367,U.S. House,2,D,Margie Wakefield,17,11,28
Miami,WV(5),U.S. House,2,D,Margie Wakefield,22,10,32
Miami,EMC(2),U.S. House,2,R,Lynn Jenkins,14,6,20
Miami,EV,U.S. House,2,R,Lynn Jenkins,28,14,42
Miami,FC,U.S. House,2,R,Lynn Jenkins,12,1,13
Miami,MI,U.S. House,2,R,Lynn Jenkins,35,12,47
Miami,MND,U.S. House,2,R,Lynn Jenkins,49,26,75
Miami,NMV(2),U.S. House,2,R,Lynn Jenkins,10,4,14
Miami,NPW,U.S. House,2,R,Lynn Jenkins,31,16,47
Miami,NPE Prt1,U.S. House,2,R,Lynn Jenkins,2,0,2
Miami,NPE Prt2,U.S. House,2,R,Lynn Jenkins,7,5,12
Miami,OSAGE,U.S. House,2,R,Lynn Jenkins,39,12,51
Miami,OC 01,U.S. House,2,R,Lynn Jenkins,37,29,66
Miami,OC 02,U.S. House,2,R,Lynn Jenkins,68,27,95
Miami,OC 03,U.S. House,2,R,Lynn Jenkins,83,33,116
Miami,OC 04,U.S. House,2,R,Lynn Jenkins,44,8,52
Miami,OSA TWP,U.S. House,2,R,Lynn Jenkins,53,25,78
Miami,PC 01,U.S. House,2,R,Lynn Jenkins,49,62,111
Miami,PC 02,U.S. House,2,R,Lynn Jenkins,60,41,101
Miami,PC 03,U.S. House,2,R,Lynn Jenkins,63,57,120
Miami,PC 04,U.S. House,2,R,Lynn Jenkins,60,61,121
Miami,RICH,U.S. House,2,R,Lynn Jenkins,89,66,155
Miami,SMV(2),U.S. House,2,R,Lynn Jenkins,76,45,121
Miami,SPE Prt2,U.S. House,2,R,Lynn Jenkins,11,9,20
Miami,SPW,U.S. House,2,R,Lynn Jenkins,18,12,30
Miami,STAN 368,U.S. House,2,R,Lynn Jenkins,25,22,47
Miami,STAN 367,U.S. House,2,R,Lynn Jenkins,12,14,26
Miami,SC,U.S. House,2,R,Lynn Jenkins,23,4,27
Miami,WMC 416,U.S. House,2,R,Lynn Jenkins,8,4,12
Miami,WMC 368,U.S. House,2,R,Lynn Jenkins,22,18,40
Miami,WV(6),U.S. House,2,R,Lynn Jenkins,10,18,28
Miami,WV(12) 368,U.S. House,2,R,Lynn Jenkins,4,3,7
Miami,WV(12) 367,U.S. House,2,R,Lynn Jenkins,17,11,28
Miami,WV(5),U.S. House,2,R,Lynn Jenkins,22,10,32
Miami,EMC(2),U.S. House,2,L,Chris Clemmons,6,0,6
Miami,EV,U.S. House,2,L,Chris Clemmons,6,2,8
Miami,FC,U.S. House,2,L,Chris Clemmons,1,0,1
Miami,MI,U.S. House,2,L,Chris Clemmons,3,0,3
Miami,MND,U.S. House,2,L,Chris Clemmons,6,2,8
Miami,NMV(2),U.S. House,2,L,Chris Clemmons,2,0,2
Miami,NPW,U.S. House,2,L,Chris Clemmons,2,0,2
Miami,NPE Prt1,U.S. House,2,L,Chris Clemmons,2,0,2
Miami,NPE Prt2,U.S. House,2,L,Chris Clemmons,2,0,2
Miami,OSAGE,U.S. House,2,L,Chris Clemmons,2,1,3
Miami,OC 01,U.S. House,2,L,Chris Clemmons,8,1,9
Miami,OC 02,U.S. House,2,L,Chris Clemmons,10,2,12
Miami,OC 03,U.S. House,2,L,Chris Clemmons,6,6,12
Miami,OC 04,U.S. House,2,L,Chris Clemmons,9,4,13
Miami,OSA TWP,U.S. House,2,L,Chris Clemmons,5,0,5
Miami,PC 01,U.S. House,2,L,Chris Clemmons,6,4,10
Miami,PC 02,U.S. House,2,L,Chris Clemmons,7,7,14
Miami,PC 03,U.S. House,2,L,Chris Clemmons,6,2,8
Miami,PC 04,U.S. House,2,L,Chris Clemmons,12,7,19
Miami,RICH,U.S. House,2,L,Chris Clemmons,20,2,22
Miami,SMV(2),U.S. House,2,L,Chris Clemmons,14,2,16
Miami,SPE Prt2,U.S. House,2,L,Chris Clemmons,3,2,5
Miami,SPW,U.S. House,2,L,Chris Clemmons,2,3,5
Miami,STAN 368,U.S. House,2,L,Chris Clemmons,6,4,10
Miami,STAN 367,U.S. House,2,L,Chris Clemmons,2,0,2
Miami,SC,U.S. House,2,L,Chris Clemmons,1,0,1
Miami,WMC 416,U.S. House,2,L,Chris Clemmons,1,0,1
Miami,WMC 368,U.S. House,2,L,Chris Clemmons,3,2,5
Miami,WV(6),U.S. House,2,L,Chris Clemmons,1,0,1
Miami,WV(12) 368,U.S. House,2,L,Chris Clemmons,1,0,1
Miami,WV(12) 367,U.S. House,2,L,Chris Clemmons,2,0,2
Miami,WV(5),U.S. House,2,L,Chris Clemmons,3,1,4
Miami,EMC(2),U.S. House,2,,Write-ins,0,0,0
Miami,EV,U.S. House,2,,Write-ins,0,0,0
Miami,FC,U.S. House,2,,Write-ins,0,0,0
