,,,,,,Total,Adv,Poll,Prov
Seward,Liberal twp 2,U.S. Senate,,I,Greg Orman,6,3,3,0
Seward,Liberal twp 3,U.S. Senate,,I,Greg Orman,8,1,7,0
Seward,Liberal twp 4,U.S. Senate,,I,Greg Orman,6,3,3,0
Seward,Liberal twp 5,U.S. Senate,,I,Greg Orman,3,1,2,0
Seward,Seward twp 1,U.S. Senate,,I,Greg Orman,4,1,3,0
Seward,Seward twp 2,U.S. Senate,,I,Greg Orman,5,2,2,1
Seward,Seward twp 3,U.S. Senate,,I,Greg Orman,1,0,1,0
Seward,Fargo twp 1,U.S. Senate,,R,Pat Roberts,27,7,20,0
Seward,Fargo twp 2,U.S. Senate,,R,Pat Roberts,32,10,22,0
Seward,Fargo twp 3,U.S. Senate,,R,Pat Roberts,17,5,12,0
Seward,Fargo twp 4,U.S. Senate,,R,Pat Roberts,46,14,30,2
Seward,Kismet City,U.S. Senate,,R,Pat Roberts,75,10,64,1
Seward,Liberal twp 1,U.S. Senate,,R,Pat Roberts,44,11,33,0
Seward,Liberal twp 2,U.S. Senate,,R,Pat Roberts,26,10,15,1
Seward,Liberal twp 3,U.S. Senate,,R,Pat Roberts,43,15,26,2
Seward,Liberal twp 4,U.S. Senate,,R,Pat Roberts,24,8,16,0
Seward,Liberal twp 5,U.S. Senate,,R,Pat Roberts,24,12,12,0
Seward,Seward twp 1,U.S. Senate,,R,Pat Roberts,20,8,12,0
Seward,Seward twp 2,U.S. Senate,,R,Pat Roberts,22,5,17,0
Seward,Seward twp 3,U.S. Senate,,R,Pat Roberts,16,0,16,0
city,precinct,office,district,party,candidate,votes,Polling,Advance,Provisional
Sew-Liberal,W1P1,Voters,,,Reg,894,894,0,0
Sew-Liberal,W1P2,Voters,,,Reg,1395,1395,0,0
Sew-Liberal,W1P3,Voters,,,Reg,952,952,0,0
Sew-Liberal,W2,Voters,,,Reg,924,924,0,0
Sew-Liberal,W3,Voters,,,Reg,839,839,0,0
Sew-Liberal,W4,Voters,,,Reg,589,589,0,0
Sew-Liberal,W5,Voters,,,Reg,537,537,0,0
Sew-Liberal,W6P1,Voters,,,Reg,1456,1456,0,0
Sew-Liberal,W6P2,Voters,,,Reg,1077,1077,0,0
Sew-Liberal,W1P1,Voters,,,Cast,213,150,54,9
Sew-Liberal,W1P2,Voters,,,Cast,283,186,95,2
Sew-Liberal,W1P3,Voters,,,Cast,272,165,99,8
Sew-Liberal,W2,Voters,,,Cast,323,226,86,11
Sew-Liberal,W3,Voters,,,Cast,152,93,54,5
Sew-Liberal,W4,Voters,,,Cast,220,151,63,6
Sew-Liberal,W5,Voters,,,Cast,193,127,62,4
Sew-Liberal,W6P1,Voters,,,Cast,718,473,232,13
Sew-Liberal,W6P2,Voters,,,Cast,430,283,132,15
Sew-Liberal,W1P1,Attorney General,,D,AJ Kotich,44,34,8,2
Sew-Liberal,W1P2,Attorney General,,D,AJ Kotich,84,55,27,2
Sew-Liberal,W1P3,Attorney General,,D,AJ Kotich,78,56,20,2
Sew-Liberal,W2,Attorney General,,D,AJ Kotich,62,36,23,3
Sew-Liberal,W3,Attorney General,,D,AJ Kotich,48,36,12,0
Sew-Liberal,W4,Attorney General,,D,AJ Kotich,48,31,14,3
Sew-Liberal,W5,Attorney General,,D,AJ Kotich,38,21,16,1
Sew-Liberal,W6P1,Attorney General,,D,AJ Kotich,103,65,36,2
Sew-Liberal,W6P2,Attorney General,,D,AJ Kotich,54,30,22,2
Sew-Liberal,W1P1,Attorney General,,R,Derek Schmidt,154,106,41,7
Sew-Liberal,W1P2,Attorney General,,R,Derek Schmidt,186,122,64,0
Sew-Liberal,W1P3,Attorney General,,R,Derek Schmidt,184,103,75,6
Sew-Liberal,W2,Attorney General,,R,Derek Schmidt,247,178,61,8
Sew-Liberal,W3,Attorney General,,R,Derek Schmidt,91,51,36,4
Sew-Liberal,W4,Attorney General,,R,Derek Schmidt,167,117,47,3
Sew-Liberal,W5,Attorney General,,R,Derek Schmidt,143,98,42,3
Sew-Liberal,W6P1,Attorney General,,R,Derek Schmidt,588,389,189,10
Sew-Liberal,W6P2,Attorney General,,R,Derek Schmidt,363,243,107,13
Sew-Liberal,W1P3,Attorney General,,,writein,1,1,0,0
Sew-Liberal,W6P1,Attorney General,,,writein,2,2,0,0
Sew-Liberal,W1P1,U.S. House,1,R,Tim Huelskamp,147,98,42,7
Sew-Liberal,W1P2,U.S. House,1,R,Tim Huelskamp,201,129,72,0
Sew-Liberal,W1P3,U.S. House,1,R,Tim Huelskamp,177,98,74,5
Sew-Liberal,W2,U.S. House,1,R,Tim Huelskamp,234,169,57,8
Sew-Liberal,W3,U.S. House,1,R,Tim Huelskamp,101,60,38,3
Sew-Liberal,W4,U.S. House,1,R,Tim Huelskamp,161,112,45,4
Sew-Liberal,W5,U.S. House,1,R,Tim Huelskamp,130,91,36,3
Sew-Liberal,W6P1,U.S. House,1,R,Tim Huelskamp,520,347,164,9
Sew-Liberal,W6P2,U.S. House,1,R,Tim Huelskamp,324,215,98,11
Sew-Liberal,W1P1,U.S. House,1,D,James Sherow,61,49,10,2
Sew-Liberal,W1P2,U.S. House,1,D,James Sherow,74,52,20,2
Sew-Liberal,W1P3,U.S. House,1,D,James Sherow,90,64,23,3
Sew-Liberal,W2,U.S. House,1,D,James Sherow,78,48,27,3
Sew-Liberal,W3,U.S. House,1,D,James Sherow,48,32,14,2
Sew-Liberal,W4,U.S. House,1,D,James Sherow,55,37,16,2
Sew-Liberal,W5,U.S. House,1,D,James Sherow,55,31,23,1
Sew-Liberal,W6P1,U.S. House,1,D,James Sherow,179,112,63,4
Sew-Liberal,W6P2,U.S. House,1,D,James Sherow,92,59,29,4
Sew-Liberal,W1P2,U.S. House,1,,writeins,1,1,0,0
Sew-Liberal,W2,U.S. House,1,,writeins,3,3,0,0
Sew-Liberal,W6P1,U.S. House,1,,writeins,1,0,1,0
Sew-Liberal,W6P2,U.S. House,1,,writeins,1,1,0,0
Sew-Liberal,W1P1,Governor,,R,Sam Brownback,135,92,37,6
Sew-Liberal,W1P2,Governor,,R,Sam Brownback,179,113,66,0
Sew-Liberal,W1P3,Governor,,R,Sam Brownback,153,80,68,5
Sew-Liberal,W2,Governor,,R,Sam Brownback,213,150,56,7
Sew-Liberal,W3,Governor,,R,Sam Brownback,88,50,34,4
Sew-Liberal,W4,Governor,,R,Sam Brownback,140,93,44,3
Sew-Liberal,W5,Governor,,R,Sam Brownback,128,88,37,3
Sew-Liberal,W6P1,Governor,,R,Sam Brownback,483,319,156,8
Sew-Liberal,W6P2,Governor,,R,Sam Brownback,302,197,96,9
Sew-Liberal,W1P1,Governor,,D,Paul Davis,52,41,8,3
Sew-Liberal,W1P2,Governor,,D,Paul Davis,74,48,24,2
Sew-Liberal,W1P3,Governor,,D,Paul Davis,105,77,26,2
Sew-Liberal,W2,Governor,,D,Paul Davis,89,61,24,4
Sew-Liberal,W3,Governor,,D,Paul Davis,52,33,18,1
Sew-Liberal,W4,Governor,,D,Paul Davis,65,44,18,3
Sew-Liberal,W5,Governor,,D,Paul Davis,56,35,20,1
Sew-Liberal,W6P1,Governor,,D,Paul Davis,196,124,68,4
Sew-Liberal,W6P2,Governor,,D,Paul Davis,115,76,33,6
Sew-Liberal,W1P1,Governor,,L,Keen Umbehr,17,11,6,0
Sew-Liberal,W1P2,Governor,,L,Keen Umbehr,21,19,2,0
Sew-Liberal,W1P3,Governor,,L,Keen Umbehr,9,6,2,1
Sew-Liberal,W2,Governor,,L,Keen Umbehr,15,11,4,0
Sew-Liberal,W3,Governor,,L,Keen Umbehr,7,5,2,0
Sew-Liberal,W4,Governor,,L,Keen Umbehr,12,12,0,0
Sew-Liberal,W5,Governor,,L,Keen Umbehr,6,3,3,0
Sew-Liberal,W6P1,Governor,,L,Keen Umbehr,30,23,6,1
Sew-Liberal,W6P2,Governor,,L,Keen Umbehr,11,8,3,0
Sew-Liberal,W4,Governor,,,writein,2,1,1,0
Sew-Liberal,W6P1,Governor,,,writein,1,1,0,0
Sew-Liberal,W1P1,Insurance Commissioner,,D,Dennis Anderson,54,44,8,2
Sew-Liberal,W1P2,Insurance Commissioner,,D,Dennis Anderson,80,55,23,2
Sew-Liberal,W1P3,Insurance Commissioner,,D,Dennis Anderson,83,59,22,2
Sew-Liberal,W2,Insurance Commissioner,,D,Dennis Anderson,74,48,24,2
Sew-Liberal,W3,Insurance Commissioner,,D,Dennis Anderson,52,36,14,2
Sew-Liberal,W4,Insurance Commissioner,,D,Dennis Anderson,52,36,14,2
Sew-Liberal,W5,Insurance Commissioner,,D,Dennis Anderson,42,23,18,1
Sew-Liberal,W6P1,Insurance Commissioner,,D,Dennis Anderson,123,76,44,3
Sew-Liberal,W6P2,Insurance Commissioner,,D,Dennis Anderson,66,39,24,3
Sew-Liberal,W1P1,Insurance Commissioner,,R,Ken Selzer,143,96,41,6
Sew-Liberal,W1P2,Insurance Commissioner,,R,Ken Selzer,186,122,64,0
Sew-Liberal,W1P3,Insurance Commissioner,,R,Ken Selzer,178,98,75,5
Sew-Liberal,W2,Insurance Commissioner,,R,Ken Selzer,229,164,58,7
Sew-Liberal,W3,Insurance Commissioner,,R,Ken Selzer,85,48,34,3
Sew-Liberal,W4,Insurance Commissioner,,R,Ken Selzer,159,112,44,3
Sew-Liberal,W5,Insurance Commissioner,,R,Ken Selzer,139,98,38,3
Sew-Liberal,W6P1,Insurance Commissioner,,R,Ken Selzer,565,379,177,9
Sew-Liberal,W6P2,Insurance Commissioner,,R,Ken Selzer,342,229,101,12
Sew-Liberal,W2,Insurance Commissioner,,,writeins,1,1,0,0
Sew-Liberal,W6P2,Insurance Commissioner,,,writeins,1,1,0,0
Sew-Liberal,W1P1,Secretary of State,,R,Kris Kobach,144,97,41,6
Sew-Liberal,W1P2,Secretary of State,,R,Kris Kobach,186,120,66,0
Sew-Liberal,W1P3,Secretary of State,,R,Kris Kobach,170,95,69,6
Sew-Liberal,W2,Secretary of State,,R,Kris Kobach,224,162,54,8
Sew-Liberal,W3,Secretary of State,,R,Kris Kobach,96,52,40,4
Sew-Liberal,W4,Secretary of State,,R,Kris Kobach,162,112,47,3
Sew-Liberal,W5,Secretary of State,,R,Kris Kobach,140,98,39,3
Sew-Liberal,W6P1,Secretary of State,,R,Kris Kobach,556,376,169,11
Sew-Liberal,W6P2,Secretary of State,,R,Kris Kobach,345,230,103,12
Sew-Liberal,W1P1,Secretary of State,,D,Jean Schodorf,59,47,10,2
Sew-Liberal,W1P2,Secretary of State,,D,Jean Schodorf,88,60,26,2
Sew-Liberal,W1P3,Secretary of State,,D,Jean Schodorf,95,67,26,2
Sew-Liberal,W2,Secretary of State,,D,Jean Schodorf,87,55,29,3
Sew-Liberal,W3,Secretary of State,,D,Jean Schodorf,48,35,13,0
Sew-Liberal,W4,Secretary of State,,D,Jean Schodorf,54,37,15,2
Sew-Liberal,W5,Secretary of State,,D,Jean Schodorf,45,25,19,1
Sew-Liberal,W6P1,Secretary of State,,D,Jean Schodorf,145,85,58,2
Sew-Liberal,W6P2,Secretary of State,,D,Jean Schodorf,75,47,25,3
Sew-Liberal,W4,Secretary of State,,,writein,1,1,0,0
Sew-Liberal,W6P1,Secretary of State,,,writein,1,1,0,0
Sew-Liberal,W6P2,Secretary of State,,,writein,1,1,0,0
Sew-Liberal,W1P1,State House,H125,R,Shannon Francis,186,130,48,8
Sew-Liberal,W1P2,State House,H125,R,Shannon Francis,231,156,75,0
Sew-Liberal,W1P3,State House,H125,R,Shannon Francis,220,129,85,5
Sew-Liberal,W2,State House,H125,R,Shannon Francis,280,198,73,9
Sew-Liberal,W3,State House,H125,R,Shannon Francis,127,75,48,4
Sew-Liberal,W4,State House,H125,R,Shannon Francis,191,130,56,5
Sew-Liberal,W5,State House,H125,R,Shannon Francis,162,108,51,3
Sew-Liberal,W6P1,State House,H125,R,Shannon Francis,642,429,201,12
Sew-Liberal,W6P2,State House,H125,R,Shannon Francis,392,257,122,13
Sew-Liberal,W1P1,State House,H125,,writeins,2,2,0,0
Sew-Liberal,W1P2,State House,H125,,writeins,2,1,1,0
Sew-Liberal,W1P3,State House,H125,,writeins,5,3,2,0
Sew-Liberal,W2,State House,H125,,writeins,3,2,1,0
Sew-Liberal,W3,State House,H125,,writeins,1,0,1,0
Sew-Liberal,W4,State House,H125,,writeins,6,5,1,0
Sew-Liberal,W6P1,State House,H125,,writeins,1,0,1,0
Sew-Liberal,W6P2,State House,H125,,writeins,6,6,0,0
Sew-Liberal,W1P1,State Treasurer,,D,Carmen Alldritt,46,36,8,2
Sew-Liberal,W1P2,State Treasurer,,D,Carmen Alldritt,64,43,19,2
Sew-Liberal,W1P3,State Treasurer,,D,Carmen Alldritt,82,58,23,1
Sew-Liberal,W2,State Treasurer,,D,Carmen Alldritt,62,38,21,3
Sew-Liberal,W3,State Treasurer,,D,Carmen Alldritt,47,34,11,2
Sew-Liberal,W4,State Treasurer,,D,Carmen Alldritt,49,34,12,3
Sew-Liberal,W5,State Treasurer,,D,Carmen Alldritt,37,20,16,1
Sew-Liberal,W6P1,State Treasurer,,D,Carmen Alldritt,102,63,36,3
Sew-Liberal,W6P2,State Treasurer,,D,Carmen Alldritt,50,29,17,4
Sew-Liberal,W1P1,State Treasurer,,R,Ron Estes,153,104,42,7
Sew-Liberal,W1P2,State Treasurer,,R,Ron Estes,206,134,72,0
Sew-Liberal,W1P3,State Treasurer,,R,Ron Estes,185,104,74,7
Sew-Liberal,W2,State Treasurer,,R,Ron Estes,251,182,62,7
Sew-Liberal,W3,State Treasurer,,R,Ron Estes,93,53,37,3
Sew-Liberal,W4,State Treasurer,,R,Ron Estes,165,114,48,3
Sew-Liberal,W5,State Treasurer,,R,Ron Estes,146,100,43,3
Sew-Liberal,W6P1,State Treasurer,,R,Ron Estes,592,395,188,9
Sew-Liberal,W6P2,State Treasurer,,R,Ron Estes,363,243,109,11
Sew-Liberal,W6P2,State Treasurer,,,writein,1,1,0,0
Sew-Liberal,W1P1,U.S. Senate,,L,Randall Batson,13,8,4,1
Sew-Liberal,W1P2,U.S. Senate,,L,Randall Batson,20,17,2,1
Sew-Liberal,W1P3,U.S. Senate,,L,Randall Batson,16,14,1,1
Sew-Liberal,W2,U.S. Senate,,L,Randall Batson,16,11,4,1
Sew-Liberal,W3,U.S. Senate,,L,Randall Batson,10,7,3,0
Sew-Liberal,W4,U.S. Senate,,L,Randall Batson,7,7,0,0
Sew-Liberal,W5,U.S. Senate,,L,Randall Batson,7,5,2,0
Sew-Liberal,W6P1,U.S. Senate,,L,Randall Batson,30,22,7,1
Sew-Liberal,W6P2,U.S. Senate,,L,Randall Batson,6,4,2,0
Sew-Liberal,W1P1,U.S. Senate,,I,Greg Orman,48,39,7,2
Sew-Liberal,W1P2,U.S. Senate,,I,Greg Orman,54,37,16,1
Sew-Liberal,W1P3,U.S. Senate,,I,Greg Orman,76,52,22,2
Sew-Liberal,W2,U.S. Senate,,I,Greg Orman,71,47,22,2
Sew-Liberal,W3,U.S. Senate,,I,Greg Orman,42,25,16,1
Sew-Liberal,W4,U.S. Senate,,I,Greg Orman,51,31,17,3
Sew-Liberal,W5,U.S. Senate,,I,Greg Orman,46,28,18,0
Sew-Liberal,W6P1,U.S. Senate,,I,Greg Orman,147,91,54,2
Sew-Liberal,W6P2,U.S. Senate,,I,Greg Orman,90,55,30,5
Sew-Liberal,W1P1,U.S. Senate,,R,Pat Roberts,144,96,42,6
Sew-Liberal,W1P2,U.S. Senate,,R,Pat Roberts,195,124,71,0
Sew-Liberal,W1P3,U.S. Senate,,R,Pat Roberts,170,91,74,5
Sew-Liberal,W2,U.S. Senate,,R,Pat Roberts,232,166,58,8
Sew-Liberal,W3,U.S. Senate,,R,Pat Roberts,92,54,35,3
Sew-Liberal,W4,U.S. Senate,,R,Pat Roberts,156,108,45,3
Sew-Liberal,W5,U.S. Senate,,R,Pat Roberts,134,92,40,2
Sew-Liberal,W6P1,U.S. Senate,,R,Pat Roberts,534,356,168,10
Sew-Liberal,W6P2,U.S. Senate,,R,Pat Roberts,326,218,98,10
Sew-Liberal,W1P3,U.S. Senate,,,writeins,1,1,0,0
Sew-Liberal,W4,U.S. Senate,,,writeins,1,1,0,0
Sew-Liberal,W5,U.S. Senate,,,writeins,1,0,0,1
Sew-Liberal,W6P1,U.S. Senate,,,writeins,1,0,1,0
Sew-Liberal,W6P2,U.S. Senate,,,writeins,1,1,0,0
