county,precinct,office,district,party,candidate,poll_votes,advance_votes,military_votes,provisional_votes,votes
Rooks,#1,President,,REP,Trump/Pence,70,8,,1,79
Rooks,#2,President,,REP,Trump/Pence,137,26,,1,164
Rooks,#3-1,President,,REP,Trump/Pence,33,4,,,37
Rooks,#3-2,President,,REP,Trump/Pence,396,62,2,5,465
Rooks,#4,President,,REP,Trump/Pence,11,1,,,12
Rooks,#5,President,,REP,Trump/Pence,27,14,,,41
Rooks,#6,President,,REP,Trump/Pence,38,4,,,42
Rooks,#7,President,,REP,Trump/Pence,71,6,,,77
Rooks,#8,President,,REP,Trump/Pence,92,7,,,99
Rooks,#9,President,,REP,Trump/Pence,21,2,,,23
Rooks,#10,President,,REP,Trump/Pence,64,7,,1,72
Rooks,#11-1,President,,REP,Trump/Pence,203,23,,6,232
Rooks,#11-2,President,,REP,Trump/Pence,549,67,,15,631
Rooks,#12,President,,REP,Trump/Pence,50,7,,,57
Rooks,Grand Totals,President,,REP,Trump/Pence,1762,238,2,29,2031
Rooks,#1,President,,DEM,Clinton/Kaine,12,0,,,12
Rooks,#2,President,,DEM,Clinton/Kaine,15,5,,,20
Rooks,#3-1,President,,DEM,Clinton/Kaine,4,1,,,5
Rooks,#3-2,President,,DEM,Clinton/Kaine,42,18,,,60
Rooks,#4,President,,DEM,Clinton/Kaine,3,2,,,5
Rooks,#5,President,,DEM,Clinton/Kaine,1,1,,,2
Rooks,#6,President,,DEM,Clinton/Kaine,3,3,,,6
Rooks,#7,President,,DEM,Clinton/Kaine,8,3,,,11
Rooks,#8,President,,DEM,Clinton/Kaine,20,2,1,,23
Rooks,#9,President,,DEM,Clinton/Kaine,3,1,,,4
Rooks,#10,President,,DEM,Clinton/Kaine,3,0,,,3
Rooks,#11-1,President,,DEM,Clinton/Kaine,27,4,,,31
Rooks,#11-2,President,,DEM,Clinton/Kaine,66,12,,1,79
Rooks,#12,President,,DEM,Clinton/Kaine,13,1,,,14
Rooks,Grand Totals,President,,DEM,Clinton/Kaine,220,53,1,1,275
Rooks,#1,President,,LIB,Johnson/Weld,3,0,,,3
Rooks,#2,President,,LIB,Johnson/Weld,6,3,1,,10
Rooks,#3-1,President,,LIB,Johnson/Weld,1,0,,,1
Rooks,#3-2,President,,LIB,Johnson/Weld,19,4,,2,25
Rooks,#4,President,,LIB,Johnson/Weld,0,0,,,0
Rooks,#5,President,,LIB,Johnson/Weld,0,0,,,0
Rooks,#6,President,,LIB,Johnson/Weld,0,0,,,0
Rooks,#7,President,,LIB,Johnson/Weld,2,0,,,2
Rooks,#8,President,,LIB,Johnson/Weld,2,0,,,2
Rooks,#9,President,,LIB,Johnson/Weld,1,0,,,1
Rooks,#10,President,,LIB,Johnson/Weld,4,0,,,4
Rooks,#11-1,President,,LIB,Johnson/Weld,5,1,,,6
Rooks,#11-2,President,,LIB,Johnson/Weld,22,2,,,24
Rooks,#12,President,,LIB,Johnson/Weld,2,0,,,2
Rooks,Grand Totals,President,,LIB,Johnson/Weld,67,10,1,2,80
Rooks,#1,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#2,President,,IND,Stein/Baraka,1,1,,,2
Rooks,#3-1,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#3-2,President,,IND,Stein/Baraka,5,1,,,6
Rooks,#4,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#5,President,,IND,Stein/Baraka,0,0,,,0
Rooks,#6,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#7,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#8,President,,IND,Stein/Baraka,1,0,,,1
Rooks,#9,President,,IND,Stein/Baraka,0,0,,,0
Rooks,#10,President,,IND,Stein/Baraka,2,0,,,2
Rooks,#11-1,President,,IND,Stein/Baraka,5,0,,,5
Rooks,#11-2,President,,IND,Stein/Baraka,3,2,,,5
Rooks,#12,President,,IND,Stein/Baraka,3,0,,,3
Rooks,Grand Totals,President,,IND,Stein/Baraka,25,4,,,29
Rooks,#2,President,,,Evan McMullin,1,,,,1
Rooks,#11-2,President,,,Evan McMullin,1,,,,1
Rooks,Grand Totals,President,,,Evan McMullin,2,,,,2
Rooks,#2,President,,,Darrell Castle,1,,,,1
Rooks,#11-2,President,,,Darrell Castle,1,,,,1
Rooks,Grand Totals,President,,,Darrell Castle,2,,,,2
Rooks,#1,U.S. Senate,,DEM,Patrick Wiesner,8,0,,,8
Rooks,#2,U.S. Senate,,DEM,Patrick Wiesner,5,5,,,10
Rooks,#3-1,U.S. Senate,,DEM,Patrick Wiesner,3,2,,,5
Rooks,#3-2,U.S. Senate,,DEM,Patrick Wiesner,37,14,,,51
Rooks,#4,U.S. Senate,,DEM,Patrick Wiesner,4,2,,,6
Rooks,#5,U.S. Senate,,DEM,Patrick Wiesner,1,0,,,1
Rooks,#6,U.S. Senate,,DEM,Patrick Wiesner,3,2,,,5
Rooks,#7,U.S. Senate,,DEM,Patrick Wiesner,7,1,,,8
Rooks,#8,U.S. Senate,,DEM,Patrick Wiesner,11,2,,,13
Rooks,#9,U.S. Senate,,DEM,Patrick Wiesner,2,0,,,2
Rooks,#10,U.S. Senate,,DEM,Patrick Wiesner,6,0,,,6
Rooks,#11-1,U.S. Senate,,DEM,Patrick Wiesner,16,4,,,20
Rooks,#11-2,U.S. Senate,,DEM,Patrick Wiesner,35,8,,2,45
Rooks,#12,U.S. Senate,,DEM,Patrick Wiesner,10,2,,,12
Rooks,Grand Totals,U.S. Senate,,DEM,Patrick Wiesner,148,42,,2,192
Rooks,#1,U.S. Senate,,LIB,Robert D. Garrard,2,0,,,2
Rooks,#2,U.S. Senate,,LIB,Robert D. Garrard,9,0,,,9
Rooks,#3-1,U.S. Senate,,LIB,Robert D. Garrard,1,0,,,1
Rooks,#3-2,U.S. Senate,,LIB,Robert D. Garrard,26,4,,1,31
Rooks,#4,U.S. Senate,,LIB,Robert D. Garrard,2,0,,,2
Rooks,#5,U.S. Senate,,LIB,Robert D. Garrard,2,2,,,4
Rooks,#6,U.S. Senate,,LIB,Robert D. Garrard,2,0,,,2
Rooks,#7,U.S. Senate,,LIB,Robert D. Garrard,0,0,,,0
Rooks,#8,U.S. Senate,,LIB,Robert D. Garrard,2,1,,,3
Rooks,#9,U.S. Senate,,LIB,Robert D. Garrard,0,0,,,0
Rooks,#10,U.S. Senate,,LIB,Robert D. Garrard,2,0,,,2
Rooks,#11-1,U.S. Senate,,LIB,Robert D. Garrard,11,2,,1,14
Rooks,#11-2,U.S. Senate,,LIB,Robert D. Garrard,40,2,,1,43
Rooks,#12,U.S. Senate,,LIB,Robert D. Garrard,0,1,,,1
Rooks,Grand Totals,U.S. Senate,,LIB,Robert D. Garrard,99,12,,3,114
Rooks,#1,U.S. Senate,,REP,Jerry Moran,75,8,,1,84
Rooks,#2,U.S. Senate,,REP,Jerry Moran,148,30,1,1,180
Rooks,#3-1,U.S. Senate,,REP,Jerry Moran,33,4,,,37
Rooks,#3-2,U.S. Senate,,REP,Jerry Moran,392,68,2,8,470
Rooks,#4,U.S. Senate,,REP,Jerry Moran,7,1,,,8
Rooks,#5,U.S. Senate,,REP,Jerry Moran,23,12,,,35
Rooks,#6,U.S. Senate,,REP,Jerry Moran,36,5,,,41
Rooks,#7,U.S. Senate,,REP,Jerry Moran,72,8,,,80
Rooks,#8,U.S. Senate,,REP,Jerry Moran,100,7,,,107
Rooks,#9,U.S. Senate,,REP,Jerry Moran,23,3,,,26
Rooks,#10,U.S. Senate,,REP,Jerry Moran,64,7,,1,72
Rooks,#11-1,U.S. Senate,,REP,Jerry Moran,216,22,,5,243
Rooks,#11-2,U.S. Senate,,REP,Jerry Moran,577,72,,12,661
Rooks,#12,U.S. Senate,,REP,Jerry Moran,55,5,,,60
Rooks,Grand Totals,U.S. Senate,,REP,Jerry Moran,1821,252,3,28,2104
Rooks,#1,U.S. House,1,REP,Roger Marshall,62,7,,1,70
Rooks,#2,U.S. House,1,REP,Roger Marshall,110,24,,,134
Rooks,#3-1,U.S. House,1,REP,Roger Marshall,26,3,,,29
Rooks,#3-2,U.S. House,1,REP,Roger Marshall,344,62,2,7,415
Rooks,#4,U.S. House,1,REP,Roger Marshall,11,1,,,12
Rooks,#5,U.S. House,1,REP,Roger Marshall,21,11,,,32
Rooks,#6,U.S. House,1,REP,Roger Marshall,32,3,,,35
Rooks,#7,U.S. House,1,REP,Roger Marshall,64,7,,,71
Rooks,#8,U.S. House,1,REP,Roger Marshall,73,6,,,79
Rooks,#9,U.S. House,1,REP,Roger Marshall,21,2,,,23
Rooks,#10,U.S. House,1,REP,Roger Marshall,57,4,,1,62
Rooks,#11-1,U.S. House,1,REP,Roger Marshall,171,19,,5,195
Rooks,#11-2,U.S. House,1,REP,Roger Marshall,474,62,,13,549
Rooks,#12,U.S. House,1,REP,Roger Marshall,40,6,,,46
Rooks,Grand Totals,U.S. House,1,REP,Roger Marshall,1506,217,2,27,1752
Rooks,#1,U.S. House,1,LIB,Kerry Burt,2,0,,,2
Rooks,#2,U.S. House,1,LIB,Kerry Burt,9,1,,1,11
Rooks,#3-1,U.S. House,1,LIB,Kerry Burt,0,0,,,0
Rooks,#3-2,U.S. House,1,LIB,Kerry Burt,20,5,,1,26
Rooks,#4,U.S. House,1,LIB,Kerry Burt,0,0,,,0
Rooks,#5,U.S. House,1,LIB,Kerry Burt,2,1,,,3
Rooks,#6,U.S. House,1,LIB,Kerry Burt,2,1,,,3
Rooks,#7,U.S. House,1,LIB,Kerry Burt,0,1,,,1
Rooks,#8,U.S. House,1,LIB,Kerry Burt,8,0,,,8
Rooks,#9,U.S. House,1,LIB,Kerry Burt,0,1,,,1
Rooks,#10,U.S. House,1,LIB,Kerry Burt,3,1,,,4
Rooks,#11-1,U.S. House,1,LIB,Kerry Burt,9,1,,,10
Rooks,#11-2,U.S. House,1,LIB,Kerry Burt,44,3,,,47
Rooks,#12,U.S. House,1,LIB,Kerry Burt,4,0,,,4
Rooks,Grand Totals,U.S. House,1,LIB,Kerry Burt,103,15,,2,120
Rooks,#1,U.S. House,1,IND,Alan LaPolice,21,1,,,22
Rooks,#2,U.S. House,1,IND,Alan LaPolice,38,7,,,45
Rooks,#3-1,U.S. House,1,IND,Alan LaPolice,10,2,,,12
Rooks,#3-2,U.S. House,1,IND,Alan LaPolice,84,14,,1,99
Rooks,#4,U.S. House,1,IND,Alan LaPolice,4,1,,,5
Rooks,#5,U.S. House,1,IND,Alan LaPolice,3,2,,,5
Rooks,#6,U.S. House,1,IND,Alan LaPolice,7,3,,,10
Rooks,#7,U.S. House,1,IND,Alan LaPolice,14,1,,,15
Rooks,#8,U.S. House,1,IND,Alan LaPolice,29,3,,,32
Rooks,#9,U.S. House,1,IND,Alan LaPolice,2,0,,,2
Rooks,#10,U.S. House,1,IND,Alan LaPolice,11,2,,,13
Rooks,#11-1,U.S. House,1,IND,Alan LaPolice,54,7,,1,62
Rooks,#11-2,U.S. House,1,IND,Alan LaPolice,112,16,,2,130
Rooks,#12,U.S. House,1,IND,Alan LaPolice,19,1,,,20
Rooks,Grand Totals,U.S. House,1,IND,Alan LaPolice,408,60,,4,472
Rooks,#2,U.S. House,1,,Tim Huelskamp,1,,,,1
Rooks,#3-2,U.S. House,1,,Tim Huelskamp,1,,,,1
Rooks,#6,U.S. House,1,,Tim Huelskamp,1,,,,1
Rooks,#11-2,U.S. House,1,,Tim Huelskamp,5,,,,5
Rooks,Grand Totals,U.S. House,1,,Tim Huelskamp,8,,,,8
Rooks,#1,State Senate,36,REP,Elaine S. Bowers,69,8,,1,78
Rooks,#2,State Senate,36,REP,Elaine S. Bowers,140,26,,1,167
Rooks,#3-1,State Senate,36,REP,Elaine S. Bowers,32,4,,,36
Rooks,#3-2,State Senate,36,REP,Elaine S. Bowers,399,67,2,7,475
Rooks,#4,State Senate,36,REP,Elaine S. Bowers,10,1,,,11
Rooks,#5,State Senate,36,REP,Elaine S. Bowers,25,15,,,40
Rooks,#6,State Senate,36,REP,Elaine S. Bowers,38,5,,,43
Rooks,#7,State Senate,36,REP,Elaine S. Bowers,66,6,,,72
Rooks,#8,State Senate,36,REP,Elaine S. Bowers,88,7,,,95
Rooks,#9,State Senate,36,REP,Elaine S. Bowers,21,3,,,24
Rooks,#10,State Senate,36,REP,Elaine S. Bowers,66,7,,1,74
Rooks,#11-1,State Senate,36,REP,Elaine S. Bowers,211,21,,5,237
Rooks,#11-2,State Senate,36,REP,Elaine S. Bowers,569,63,,14,646
Rooks,#12,State Senate,36,REP,Elaine S. Bowers,52,4,,,56
Rooks,Grand Totals,State Senate,36,REP,Elaine S. Bowers,1786,237,2,29,2054
Rooks,#1,State Senate,36,DEM,Brian G. Angevine,11,0,,,11
Rooks,#2,State Senate,36,DEM,Brian G. Angevine,17,7,1,,25
Rooks,#3-1,State Senate,36,DEM,Brian G. Angevine,5,1,,,6
Rooks,#3-2,State Senate,36,DEM,Brian G. Angevine,39,15,,,54
Rooks,#4,State Senate,36,DEM,Brian G. Angevine,4,2,,,6
Rooks,#5,State Senate,36,DEM,Brian G. Angevine,1,0,,,1
Rooks,#6,State Senate,36,DEM,Brian G. Angevine,4,2,,,6
Rooks,#7,State Senate,36,DEM,Brian G. Angevine,10,2,,,12
Rooks,#8,State Senate,36,DEM,Brian G. Angevine,21,3,1,,25
Rooks,#9,State Senate,36,DEM,Brian G. Angevine,3,0,,,3
Rooks,#10,State Senate,36,DEM,Brian G. Angevine,8,0,,,8
Rooks,#11-1,State Senate,36,DEM,Brian G. Angevine,23,5,,,28
Rooks,#11-2,State Senate,36,DEM,Brian G. Angevine,56,16,,,72
Rooks,#12,State Senate,36,DEM,Brian G. Angevine,13,2,,,15
Rooks,Grand Totals,State Senate,36,DEM,Brian G. Angevine,215,55,2,,272
Rooks,#1,State House,110,REP,Ken Rahjes,78,8,,1,87
Rooks,#2,State House,110,REP,Ken Rahjes,147,32,1,1,181
Rooks,#3-1,State House,110,REP,Ken Rahjes,35,5,,,40
Rooks,#3-2,State House,110,REP,Ken Rahjes,416,73,2,8,499
Rooks,#4,State House,110,REP,Ken Rahjes,13,1,,,14
Rooks,#5,State House,110,REP,Ken Rahjes,23,14,,,37
Rooks,#6,State House,110,REP,Ken Rahjes,40,4,,,44
Rooks,#7,State House,110,REP,Ken Rahjes,74,7,,,81
Rooks,#8,State House,110,REP,Ken Rahjes,97,9,1,,107
Rooks,#9,State House,110,REP,Ken Rahjes,21,3,,,24
Rooks,#10,State House,110,REP,Ken Rahjes,70,7,,1,78
Rooks,#11-1,State House,110,REP,Ken Rahjes,222,24,,4,250
Rooks,#11-2,State House,110,REP,Ken Rahjes,590,72,,13,675
Rooks,#12,State House,110,REP,Ken Rahjes,56,5,,,61
Rooks,Grand Totals,State House,110,REP,Ken Rahjes,1882,264,4,28,2178