county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,R,Donald Trump / Mike Pence,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,D,Hillary Clinton / Tim Kaine,5,,,,,,,,,,,,,,26,,1,,46,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,L,Gary Johnson! Bill Weld,1,,,,,,,,,,,,,,1,,5,,0,,15,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,I,Jill Stein / Ajamu Baraka,1,,,,,,,,,,,,,,,6,,0,,8,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,President,,,John McAfee,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,,,
Wallace,Sharon Springs #2,President,,R,Donald Trump / Mike Pence,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,D,Hillary Clinton / Tim Kaine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,L,Gary Johnson! Bill Weld,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,I,Jill Stein / Ajamu Baraka,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,,Evan McMullin,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,,Jesus Christ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,,Ted Cruz,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,President,,,Pence,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,President,,R,Donald Trump / Mike Pence,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,President,,D,Hillary Clinton / Tim Kaine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,President,,L,Gary Johnson! Bill Weld,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,President,,R,Donald Trump / Mike Pence,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,President,,D,Hillary Clinton / Tim Kaine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,President,,L,Gary Johnson! Bill Weld,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,President,,R,Donald Trump / Mike Pence,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,President,,D,Hillary Clinton / Tim Kaine,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,President,,L,Gary Johnson! Bill Weld,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,President,,R,Donald Trump / Mike Pence,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,President,,D,Hillary Clinton / Tim Kaine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,President,,L,Gary Johnson! Bill Weld,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,President,,R,Donald Trump / Mike Pence,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,President,,D,Hillary Clinton / Tim Kaine,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,President,,L,Gary Johnson! Bill Weld,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,R,Donald Trump / Mike Pence,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,D,Hillary Clinton / Tim Kaine,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,L,Gary Johnson! Bill Weld,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,I,Jill Stein / Ajamu Baraka,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,Evan McMullin,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,Jesus Christ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,Ted Cruz,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,Pence,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,President,,,John McAfee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,R,Donald Trump / Mike Pence,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,D,Hillary Clinton / Tim Kaine,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,L,Gary Johnson! Bill Weld,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,I,Jill Stein / Ajamu Baraka,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,,Evan McMullin,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,,Jesus Christ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,,Ted Cruz,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,,Pence,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,President,,,John McAfee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,President,,R,Donald Trump / Mike Pence,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,President,,D,Hillary Clinton / Tim Kaine,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,President,,L,Gary Johnson! Bill Weld,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,President,,I,Jill Stein / Ajamu Baraka,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,President,,,Evan McMullin,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,President,,,Jesus Christ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,President,,,Ted Cruz,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,President,,,Pence,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,President,,,John McAfee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,U.S. Senate,,D,Patrick Wiesner,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,U.S. Senate,,L,Robert Garrard,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,U.S. Senate,,R,Jerry Moran,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,U.S. Senate,,D,Patrick Wiesner,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,U.S. Senate,,L,Robert Garrard,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,U.S. Senate,,R,Jerry Moran,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,U.S. Senate,,D,Patrick Wiesner,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,U.S. Senate,,L,Robert Garrard,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,U.S. Senate,,R,Jerry Moran,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,U.S. Senate,,D,Patrick Wiesner,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,U.S. Senate,,L,Robert Garrard,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,U.S. Senate,,R,Jerry Moran,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,U.S. Senate,,D,Patrick Wiesner,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,U.S. Senate,,L,Robert Garrard,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,U.S. Senate,,R,Jerry Moran,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,U.S. Senate,,D,Patrick Wiesner,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,U.S. Senate,,L,Robert Garrard,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,U.S. Senate,,R,Jerry Moran,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,U.S. Senate,,D,Patrick Wiesner,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,U.S. Senate,,L,Robert Garrard,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,U.S. Senate,,R,Jerry Moran,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,U.S. Senate,,D,Patrick Wiesner,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,U.S. Senate,,L,Robert Garrard,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,U.S. Senate,,R,Jerry Moran,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,U.S. Senate,,D,Patrick Wiesner,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,U.S. Senate,,L,Robert Garrard,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,U.S. Senate,,R,Jerry Moran,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,U.S. Senate,,D,Patrick Wiesner,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,U.S. Senate,,L,Robert Garrard,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,U.S. Senate,,R,Jerry Moran,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,U.S. House,1,R,Roger Marshall,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,U.S. House,1,L,Kerry Burt,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,U.S. House,1,D,Alan LaPolice,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,U.S. House,1,,Tim Huelskamp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,U.S. House,1,R,Roger Marshall,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,U.S. House,1,L,Kerry Burt,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,U.S. House,1,D,Alan LaPolice,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,U.S. House,1,,Tim Huelskamp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,U.S. House,1,R,Roger Marshall,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,U.S. House,1,L,Kerry Burt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,U.S. House,1,D,Alan LaPolice,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,U.S. House,1,R,Roger Marshall,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,U.S. House,1,L,Kerry Burt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,U.S. House,1,D,Alan LaPolice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,U.S. House,1,R,Roger Marshall,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,U.S. House,1,L,Kerry Burt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,U.S. House,1,D,Alan LaPolice,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,U.S. House,1,R,Roger Marshall,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,U.S. House,1,L,Kerry Burt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,U.S. House,1,D,Alan LaPolice,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,U.S. House,1,,Tim Huelskamp,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,U.S. House,1,R,Roger Marshall,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,U.S. House,1,L,Kerry Burt,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,U.S. House,1,D,Alan LaPolice,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,U.S. House,1,R,Roger Marshall,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,U.S. House,1,L,Kerry Burt,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,U.S. House,1,D,Alan LaPolice,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,U.S. House,1,,Tim Huelskamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,U.S. House,1,R,Roger Marshall,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,U.S. House,1,L,Kerry Burt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,U.S. House,1,D,Alan LaPolice,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,U.S. House,1,,Tim Huelskamp,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,U.S. House,1,R,Roger Marshall,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,U.S. House,1,L,Kerry Burt,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,U.S. House,1,D,Alan LaPolice,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,U.S. House,1,,Tim Huelskamp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,State Senate,40,D,Alex Herman,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,State Senate,40,R,Richard Billinger,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,State Senate,40,D,Alex Herman,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,State Senate,40,R,Richard Billinger,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,State Senate,40,D,Alex Herman,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,State Senate,40,R,Richard Billinger,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,State Senate,40,D,Alex Herman,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,State Senate,40,R,Richard Billinger,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,State Senate,40,D,Alex Herman,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,State Senate,40,R,Richard Billinger,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,State Senate,40,D,Alex Herman,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,State Senate,40,R,Richard Billinger,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,State Senate,40,D,Alex Herman,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,State Senate,40,R,Richard Billinger,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,State Senate,40,D,Alex Herman,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,State Senate,40,R,Richard Billinger,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,State Senate,40,D,Alex Herman,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,State Senate,40,R,Richard Billinger,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,State Senate,40,D,Alex Herman,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,State Senate,40,R,Richard Billinger,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,State House,120,R,Adam Smith,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #1 ,State House,120,D,Bonita Peterson,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,State House,120,R,Adam Smith,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #2,State House,120,D,Bonita Peterson,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,State House,120,R,Adam Smith,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Harrison,State House,120,D,Bonita Peterson,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,State House,120,R,Adam Smith,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #3,State House,120,D,Bonita Peterson,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,State House,120,R,Adam Smith,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,State House,120,D,Bonita Peterson,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,State House,120,,John Faber,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Sharon Springs #4,State House,120,,John Miller,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,State House,120,R,Adam Smith,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Wallace,State House,120,D,Bonita Peterson,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,State House,120,R,Adam Smith,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Weskan,State House,120,D,Bonita Peterson,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,State House,120,R,Adam Smith,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,State House,120,D,Bonita Peterson,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,State House,120,,John Faber,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Advance,State House,120,,John Miller,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,State House,120,R,Adam Smith,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,State House,120,D,Bonita Peterson,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,State House,120,,John Faber,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Provisional,State House,120,,John Miller,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,State House,120,R,Adam Smith,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,State House,120,D,Bonita Peterson,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,State House,120,,John Faber,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace,Total,State House,120,,John Miller,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,