county,precinct,office,district,party,candidate,votes,advance,election,provisional
Greenwood,Eureka City Ward 1,U.S. House,4,,Ballots Cast,141,42,99,0
Greenwood,Eureka City Ward 1,U.S. House,4,LIB,Chris Rockhold,1,1,0,0
Greenwood,Eureka City Ward 1,U.S. House,4,DEM,James A. Thompson,29,15,14,0
Greenwood,Eureka City Ward 1,U.S. House,4,REP,Ron Estes,110,25,85,0
Greenwood,Eureka City Ward 1,U.S. House,4,,Write-ins,1,1,0,0
Greenwood,Eureka City Ward 2,U.S. House,4,,Ballots Cast,102,30,72,0
Greenwood,Eureka City Ward 2,U.S. House,4,LIB,Chris Rockhold,5,3,2,0
Greenwood,Eureka City Ward 2,U.S. House,4,DEM,James A. Thompson,23,3,20,0
Greenwood,Eureka City Ward 2,U.S. House,4,REP,Ron Estes,73,23,50,0
Greenwood,Eureka City Ward 2,U.S. House,4,,Write-ins,1,0,0,0
Greenwood,Eureka City Ward 3,U.S. House,4,,Ballots Cast,106,29,76,1
Greenwood,Eureka City Ward 3,U.S. House,4,LIB,Chris Rockhold,1,0,1,0
Greenwood,Eureka City Ward 3,U.S. House,4,DEM,James A. Thompson,24,6,18,0
Greenwood,Eureka City Ward 3,U.S. House,4,REP,Ron Estes,81,23,57,1
Greenwood,Eureka City Ward 3,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Bachelor Twp,U.S. House,4,,Ballots Cast,42,0,42,0
Greenwood,Bachelor Twp,U.S. House,4,LIB,Chris Rockhold,0,0,0,0
Greenwood,Bachelor Twp,U.S. House,4,DEM,James A. Thompson,8,0,8,0
Greenwood,Bachelor Twp,U.S. House,4,REP,Ron Estes,33,0,33,0
Greenwood,Bachelor Twp,U.S. House,4,,Write-ins,1,0,1,0
Greenwood,Eureka Twp,U.S. House,4,,Ballots Cast,93,9,81,3
Greenwood,Eureka Twp,U.S. House,4,LIB,Chris Rockhold,0,0,0,0
Greenwood,Eureka Twp,U.S. House,4,DEM,James A. Thompson,34,5,29,0
Greenwood,Eureka Twp,U.S. House,4,REP,Ron Estes,59,4,52,3
Greenwood,Eureka Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Fall River Twp,U.S. House,4,,Ballots Cast,43,7,36,0
Greenwood,Fall River Twp,U.S. House,4,LIB,Chris Rockhold,0,0,0,0
Greenwood,Fall River Twp,U.S. House,4,DEM,James A. Thompson,18,3,15,0
Greenwood,Fall River Twp,U.S. House,4,REP,Ron Estes,24,4,20,0
Greenwood,Fall River Twp,U.S. House,4,,Write-ins,1,0,1,0
Greenwood,Janesville Twp,U.S. House,4,,Ballots Cast,103,6,97,0
Greenwood,Janesville Twp,U.S. House,4,LIB,Chris Rockhold,2,0,2,0
Greenwood,Janesville Twp,U.S. House,4,DEM,James A. Thompson,18,1,17,0
Greenwood,Janesville Twp,U.S. House,4,REP,Ron Estes,83,5,78,0
Greenwood,Janesville Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Lane Twp,U.S. House,4,,Ballots Cast,20,5,15,0
Greenwood,Lane Twp,U.S. House,4,LIB,Chris Rockhold,1,1,0,0
Greenwood,Lane Twp,U.S. House,4,DEM,James A. Thompson,4,3,1,0
Greenwood,Lane Twp,U.S. House,4,REP,Ron Estes,15,1,14,0
Greenwood,Lane Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Madison Twp,U.S. House,4,,Ballots Cast,177,10,167,0
Greenwood,Madison Twp,U.S. House,4,LIB,Chris Rockhold,3,0,3,0
Greenwood,Madison Twp,U.S. House,4,DEM,James A. Thompson,52,2,50,0
Greenwood,Madison Twp,U.S. House,4,REP,Ron Estes,122,8,114,0
Greenwood,Madison Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Otter Creek Twp,U.S. House,4,,Ballots Cast,38,11,27,0
Greenwood,Otter Creek Twp,U.S. House,4,LIB,Chris Rockhold,2,1,1,0
Greenwood,Otter Creek Twp,U.S. House,4,DEM,James A. Thompson,14,5,9,0
Greenwood,Otter Creek Twp,U.S. House,4,REP,Ron Estes,22,5,17,0
Greenwood,Otter Creek Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Pleasant Grove Twp,U.S. House,4,,Ballots Cast,19,4,15,0
Greenwood,Pleasant Grove Twp,U.S. House,4,LIB,Chris Rockhold,0,0,0,0
Greenwood,Pleasant Grove Twp,U.S. House,4,DEM,James A. Thompson,7,0,7,0
Greenwood,Pleasant Grove Twp,U.S. House,4,REP,Ron Estes,12,4,8,0
Greenwood,Pleasant Grove Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Quincy Twp,U.S. House,4,,Ballots Cast,24,5,19,0
Greenwood,Quincy Twp,U.S. House,4,LIB,Chris Rockhold,0,0,0,0
Greenwood,Quincy Twp,U.S. House,4,DEM,James A. Thompson,3,0,3,0
Greenwood,Quincy Twp,U.S. House,4,REP,Ron Estes,21,5,16,0
Greenwood,Quincy Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Salem Twp,U.S. House,4,,Ballots Cast,6,1,5,0
Greenwood,Salem Twp,U.S. House,4,LIB,Chris Rockhold,0,0,0,0
Greenwood,Salem Twp,U.S. House,4,DEM,James A. Thompson,1,0,1,0
Greenwood,Salem Twp,U.S. House,4,REP,Ron Estes,5,1,4,0
Greenwood,Salem Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,South Salem Twp,U.S. House,4,,Ballots Cast,21,3,18,0
Greenwood,South Salem Twp,U.S. House,4,LIB,Chris Rockhold,0,0,0,0
Greenwood,South Salem Twp,U.S. House,4,DEM,James A. Thompson,1,0,1,0
Greenwood,South Salem Twp,U.S. House,4,REP,Ron Estes,20,3,17,0
Greenwood,South Salem Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Salt Springs Twp,U.S. House,4,,Ballots Cast,60,7,53,0
Greenwood,Salt Springs Twp,U.S. House,4,LIB,Chris Rockhold,1,0,1,0
Greenwood,Salt Springs Twp,U.S. House,4,DEM,James A. Thompson,18,4,14,0
Greenwood,Salt Springs Twp,U.S. House,4,REP,Ron Estes,41,3,38,0
Greenwood,Salt Springs Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Shell Rock Twp,U.S. House,4,,Ballots Cast,14,2,12,0
Greenwood,Shell Rock Twp,U.S. House,4,LIB,Chris Rockhold,0,0,0,0
Greenwood,Shell Rock Twp,U.S. House,4,DEM,James A. Thompson,3,2,1,0
Greenwood,Shell Rock Twp,U.S. House,4,REP,Ron Estes,11,0,11,0
Greenwood,Shell Rock Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Spring Creek Twp,U.S. House,4,,Ballots Cast,23,7,16,0
Greenwood,Spring Creek Twp,U.S. House,4,LIB,Chris Rockhold,1,1,0,0
Greenwood,Spring Creek Twp,U.S. House,4,DEM,James A. Thompson,7,5,2,0
Greenwood,Spring Creek Twp,U.S. House,4,REP,Ron Estes,15,1,14,0
Greenwood,Spring Creek Twp,U.S. House,4,,Write-ins,0,0,0,0
Greenwood,Twin Grove Twp,U.S. House,4,,Ballots Cast,93,7,84,2
Greenwood,Twin Grove Twp,U.S. House,4,LIB,Chris Rockhold,1,0,1,0
Greenwood,Twin Grove Twp,U.S. House,4,DEM,James A. Thompson,17,1,15,1
Greenwood,Twin Grove Twp,U.S. House,4,REP,Ron Estes,73,6,66,1
Greenwood,Twin Grove Twp,U.S. House,4,,Write-ins,2,0,2,0