county,precinct,office,district,party,candidate,votes,election_day_paper,election_day_electronic,advance_paper,advance_electronic,hand_count_provisional
Harvey,Burrton City,U.S. House,4,,Registered Voters,474,,,,,
Harvey,Halstead City 1W-1P,U.S. House,4,,Registered Voters,514,,,,,
Harvey,Halstead City 1W-2P,U.S. House,4,,Registered Voters,711,,,,,
Harvey,Hesston City 1W-1P,U.S. House,4,,Registered Voters,1197,,,,,
Harvey,Hesston City 1W-2P,U.S. House,4,,Registered Voters,1123,,,,,
Harvey,Newton City 1W-1P,U.S. House,4,,Registered Voters,736,,,,,
Harvey,Newton City 1W-2P,U.S. House,4,,Registered Voters,556,,,,,
Harvey,Newton City 1W-3P,U.S. House,4,,Registered Voters,413,,,,,
Harvey,Newton City 2W-1P,U.S. House,4,,Registered Voters,655,,,,,
Harvey,Newton City 2W-2P,U.S. House,4,,Registered Voters,1453,,,,,
Harvey,Newton City 3W-1P,U.S. House,4,,Registered Voters,621,,,,,
Harvey,Newton City 3W-2P,U.S. House,4,,Registered Voters,885,,,,,
Harvey,Newton City 3W-3P,U.S. House,4,,Registered Voters,743,,,,,
Harvey,Newton City 3W-4P,U.S. House,4,,Registered Voters,1662,,,,,
Harvey,Newton City 4W-1P,U.S. House,4,,Registered Voters,737,,,,,
Harvey,Newton City 4W-2P,U.S. House,4,,Registered Voters,1235,,,,,
Harvey,Newton City 4W-3P,U.S. House,4,,Registered Voters,914,,,,,
Harvey,Newton City 4W-4P,U.S. House,4,,Registered Voters,404,,,,,
Harvey,North Newton,U.S. House,4,,Registered Voters,1326,,,,,
Harvey,Sedgwick City,U.S. House,4,,Registered Voters,851,,,,,
Harvey,Walton City,U.S. House,4,,Registered Voters,143,,,,,
Harvey,Alta Township,U.S. House,4,,Registered Voters,161,,,,,
Harvey,Burrton Township,U.S. House,4,,Registered Voters,116,,,,,
Harvey,Darlington Township,U.S. House,4,,Registered Voters,295,,,,,
Harvey,Darlington Twp North,U.S. House,4,,Registered Voters,85,,,,,
Harvey,Emma Township,U.S. House,4,,Registered Voters,371,,,,,
Harvey,Garden Township,U.S. House,4,,Registered Voters,192,,,,,
Harvey,Halstead Township,U.S. House,4,,Registered Voters,186,,,,,
Harvey,Highland Township,U.S. House,4,,Registered Voters,271,,,,,
Harvey,Lake Township,U.S. House,4,,Registered Voters,104,,,,,
Harvey,Lakin Township,U.S. House,4,,Registered Voters,195,,,,,
Harvey,Macon Township,U.S. House,4,,Registered Voters,302,,,,,
Harvey,Newton Township AB,U.S. House,4,,Registered Voters,232,,,,,
Harvey,Newton Township CDE,U.S. House,4,,Registered Voters,74,,,,,
Harvey,Pleasant Township,U.S. House,4,,Registered Voters,353,,,,,
Harvey,Richland Township,U.S. House,4,,Registered Voters,267,,,,,
Harvey,Sedgwick Township,U.S. House,4,,Registered Voters,230,,,,,
Harvey,Walton Township,U.S. House,4,,Registered Voters,192,,,,,
Harvey,Total,U.S. House,4,,Registered Voters,20979,,,,,
Harvey,Burrton City,U.S. House,4,DEM,James A. Thompson,30,17,12,1,0,0
Harvey,Halstead City 1W-1P,U.S. House,4,DEM,James A. Thompson,53,28,13,9,2,1
Harvey,Halstead City 1W-2P,U.S. House,4,DEM,James A. Thompson,105,53,31,18,2,1
Harvey,Hesston City 1W-1P,U.S. House,4,DEM,James A. Thompson,209,49,94,43,20,3
Harvey,Hesston City 1W-2P,U.S. House,4,DEM,James A. Thompson,184,59,94,22,6,3
Harvey,Newton City 1W-1P,U.S. House,4,DEM,James A. Thompson,126,49,34,29,14,0
Harvey,Newton City 1W-2P,U.S. House,4,DEM,James A. Thompson,90,27,25,30,5,3
Harvey,Newton City 1W-3P,U.S. House,4,DEM,James A. Thompson,45,18,9,13,2,3
Harvey,Newton City 2W-1P,U.S. House,4,DEM,James A. Thompson,98,38,35,22,3,0
Harvey,Newton City 2W-2P,U.S. House,4,DEM,James A. Thompson,217,55,55,78,22,7
Harvey,Newton City 3W-1P,U.S. House,4,DEM,James A. Thompson,102,31,42,18,10,1
Harvey,Newton City 3W-2P,U.S. House,4,DEM,James A. Thompson,124,33,49,25,17,0
Harvey,Newton City 3W-3P,U.S. House,4,DEM,James A. Thompson,116,34,48,19,13,2
Harvey,Newton City 3W-4P,U.S. House,4,DEM,James A. Thompson,223,65,92,40,23,3
Harvey,Newton City 4W-1P,U.S. House,4,DEM,James A. Thompson,142,55,39,32,12,4
Harvey,Newton City 4W-2P,U.S. House,4,DEM,James A. Thompson,234,75,85,49,24,1
Harvey,Newton City 4W-3P,U.S. House,4,DEM,James A. Thompson,162,54,62,31,14,1
Harvey,Newton City 4W-4P,U.S. House,4,DEM,James A. Thompson,73,20,22,21,7,3
Harvey,North Newton,U.S. House,4,DEM,James A. Thompson,498,186,109,162,36,5
Harvey,Sedgwick City,U.S. House,4,DEM,James A. Thompson,102,52,30,18,2,0
Harvey,Walton City,U.S. House,4,DEM,James A. Thompson,21,10,9,0,2,0
Harvey,Alta Township,U.S. House,4,DEM,James A. Thompson,25,10,4,9,2,0
Harvey,Burrton Township,U.S. House,4,DEM,James A. Thompson,22,13,6,3,0,0
Harvey,Darlington Township,U.S. House,4,DEM,James A. Thompson,35,11,8,12,4,0
Harvey,Darlington Twp North,U.S. House,4,DEM,James A. Thompson,9,1,6,2,0,0
Harvey,Emma Township,U.S. House,4,DEM,James A. Thompson,40,18,14,4,3,1
Harvey,Garden Township,U.S. House,4,DEM,James A. Thompson,30,12,8,10,0,0
Harvey,Halstead Township,U.S. House,4,DEM,James A. Thompson,23,13,6,4,0,0
Harvey,Highland Township,U.S. House,4,DEM,James A. Thompson,60,26,12,13,8,1
Harvey,Lake Township,U.S. House,4,DEM,James A. Thompson,3,3,0,0,0,0
Harvey,Lakin Township,U.S. House,4,DEM,James A. Thompson,14,6,3,2,2,1
Harvey,Macon Township,U.S. House,4,DEM,James A. Thompson,47,21,9,16,1,0
Harvey,Newton Township AB,U.S. House,4,DEM,James A. Thompson,32,10,14,5,3,0
Harvey,Newton Township CDE,U.S. House,4,DEM,James A. Thompson,3,0,2,0,1,0
Harvey,Pleasant Township,U.S. House,4,DEM,James A. Thompson,56,27,16,3,6,4
Harvey,Richland Township,U.S. House,4,DEM,James A. Thompson,23,3,12,5,2,1
Harvey,Sedgwick Township,U.S. House,4,DEM,James A. Thompson,17,4,7,5,1,0
Harvey,Walton Township,U.S. House,4,DEM,James A. Thompson,23,16,6,1,0,0
Harvey,Total,U.S. House,4,DEM,James A. Thompson,3416,1202,1122,774,269,49
Harvey,Burrton City,U.S. House,4,REP,Ron Estes,98,60,33,4,1,0
Harvey,Halstead City 1W-1P,U.S. House,4,REP,Ron Estes,86,55,25,5,0,1
Harvey,Halstead City 1W-2P,U.S. House,4,REP,Ron Estes,127,75,33,15,3,1
Harvey,Hesston City 1W-1P,U.S. House,4,REP,Ron Estes,216,76,94,33,12,1
Harvey,Hesston City 1W-2P,U.S. House,4,REP,Ron Estes,224,103,102,14,5,0
Harvey,Newton City 1W-1P,U.S. House,4,REP,Ron Estes,79,26,27,21,4,1
Harvey,Newton City 1W-2P,U.S. House,4,REP,Ron Estes,61,16,23,18,4,0
Harvey,Newton City 1W-3P,U.S. House,4,REP,Ron Estes,68,32,19,10,6,1
Harvey,Newton City 2W-1P,U.S. House,4,REP,Ron Estes,70,32,26,11,1,0
Harvey,Newton City 2W-2P,U.S. House,4,REP,Ron Estes,229,73,86,56,12,2
Harvey,Newton City 3W-1P,U.S. House,4,REP,Ron Estes,103,46,42,12,3,0
Harvey,Newton City 3W-2P,U.S. House,4,REP,Ron Estes,175,67,62,34,10,2
Harvey,Newton City 3W-3P,U.S. House,4,REP,Ron Estes,133,49,51,22,11,0
Harvey,Newton City 3W-4P,U.S. House,4,REP,Ron Estes,317,106,147,45,18,1
Harvey,Newton City 4W-1P,U.S. House,4,REP,Ron Estes,122,50,38,27,7,0
Harvey,Newton City 4W-2P,U.S. House,4,REP,Ron Estes,195,58,99,24,13,1
Harvey,Newton City 4W-3P,U.S. House,4,REP,Ron Estes,181,78,74,24,5,0
Harvey,Newton City 4W-4P,U.S. House,4,REP,Ron Estes,63,28,23,9,1,2
Harvey,North Newton,U.S. House,4,REP,Ron Estes,198,98,53,31,14,2
Harvey,Sedgwick City,U.S. House,4,REP,Ron Estes,167,116,46,5,0,0
Harvey,Walton City,U.S. House,4,REP,Ron Estes,25,13,7,3,1,1
Harvey,Alta Township,U.S. House,4,REP,Ron Estes,36,19,8,7,1,1
Harvey,Burrton Township,U.S. House,4,REP,Ron Estes,30,17,9,2,2,0
Harvey,Darlington Township,U.S. House,4,REP,Ron Estes,76,28,29,14,4,1
Harvey,Darlington Twp North,U.S. House,4,REP,Ron Estes,27,14,7,3,3,0
Harvey,Emma Township,U.S. House,4,REP,Ron Estes,105,53,38,5,9,0
Harvey,Garden Township,U.S. House,4,REP,Ron Estes,42,21,10,8,3,0
Harvey,Halstead Township,U.S. House,4,REP,Ron Estes,45,22,13,6,3,1
Harvey,Highland Township,U.S. House,4,REP,Ron Estes,53,31,13,7,2,0
Harvey,Lake Township,U.S. House,4,REP,Ron Estes,25,18,6,0,1,0
Harvey,Lakin Township,U.S. House,4,REP,Ron Estes,46,29,11,5,0,1
Harvey,Macon Township,U.S. House,4,REP,Ron Estes,71,28,28,11,4,0
Harvey,Newton Township AB,U.S. House,4,REP,Ron Estes,67,35,22,8,0,2
Harvey,Newton Township CDE,U.S. House,4,REP,Ron Estes,19,10,5,3,0,1
Harvey,Pleasant Township,U.S. House,4,REP,Ron Estes,125,53,67,3,2,0
Harvey,Richland Township,U.S. House,4,REP,Ron Estes,87,38,34,10,5,0
Harvey,Sedgwick Township,U.S. House,4,REP,Ron Estes,53,36,6,6,5,0
Harvey,Walton Township,U.S. House,4,REP,Ron Estes,39,19,13,6,1,0
Harvey,Total,U.S. House,4,REP,Ron Estes,3883,1728,1429,527,176,23
Harvey,Burrton City,U.S. House,4,LIB,Chris Rockhold,2,1,1,0,0,0
Harvey,Halstead City 1W-1P,U.S. House,4,LIB,Chris Rockhold,3,1,0,2,0,0
Harvey,Halstead City 1W-2P,U.S. House,4,LIB,Chris Rockhold,2,1,1,0,0,0
Harvey,Hesston City 1W-1P,U.S. House,4,LIB,Chris Rockhold,9,2,5,2,0,0
Harvey,Hesston City 1W-2P,U.S. House,4,LIB,Chris Rockhold,6,4,1,0,0,1
Harvey,Newton City 1W-1P,U.S. House,4,LIB,Chris Rockhold,6,2,4,0,0,0
Harvey,Newton City 1W-2P,U.S. House,4,LIB,Chris Rockhold,7,1,4,2,0,0
Harvey,Newton City 1W-3P,U.S. House,4,LIB,Chris Rockhold,3,0,2,1,0,0
Harvey,Newton City 2W-1P,U.S. House,4,LIB,Chris Rockhold,6,2,2,2,0,0
Harvey,Newton City 2W-2P,U.S. House,4,LIB,Chris Rockhold,7,3,0,4,0,0
Harvey,Newton City 3W-1P,U.S. House,4,LIB,Chris Rockhold,4,2,1,0,1,0
Harvey,Newton City 3W-2P,U.S. House,4,LIB,Chris Rockhold,4,2,1,1,0,0
Harvey,Newton City 3W-3P,U.S. House,4,LIB,Chris Rockhold,3,2,0,1,0,0
Harvey,Newton City 3W-4P,U.S. House,4,LIB,Chris Rockhold,7,1,4,2,0,0
Harvey,Newton City 4W-1P,U.S. House,4,LIB,Chris Rockhold,5,1,3,1,0,0
Harvey,Newton City 4W-2P,U.S. House,4,LIB,Chris Rockhold,7,2,4,1,0,0
Harvey,Newton City 4W-3P,U.S. House,4,LIB,Chris Rockhold,7,2,1,3,1,0
Harvey,Newton City 4W-4P,U.S. House,4,LIB,Chris Rockhold,1,0,0,1,0,0
Harvey,North Newton,U.S. House,4,LIB,Chris Rockhold,7,2,2,3,0,0
Harvey,Sedgwick City,U.S. House,4,LIB,Chris Rockhold,3,1,1,1,0,0
Harvey,Walton City,U.S. House,4,LIB,Chris Rockhold,0,0,0,0,0,0
Harvey,Alta Township,U.S. House,4,LIB,Chris Rockhold,1,0,1,0,0,0
Harvey,Burrton Township,U.S. House,4,LIB,Chris Rockhold,1,1,0,0,0,0
Harvey,Darlington Township,U.S. House,4,LIB,Chris Rockhold,0,0,0,0,0,0
Harvey,Darlington Twp North,U.S. House,4,LIB,Chris Rockhold,0,0,0,0,0,0
Harvey,Emma Township,U.S. House,4,LIB,Chris Rockhold,1,0,1,0,0,0
Harvey,Garden Township,U.S. House,4,LIB,Chris Rockhold,3,0,1,2,0,0
Harvey,Halstead Township,U.S. House,4,LIB,Chris Rockhold,2,1,1,0,0,0
Harvey,Highland Township,U.S. House,4,LIB,Chris Rockhold,1,1,0,0,0,0
Harvey,Lake Township,U.S. House,4,LIB,Chris Rockhold,0,0,0,0,0,0
Harvey,Lakin Township,U.S. House,4,LIB,Chris Rockhold,1,1,0,0,0,0
Harvey,Macon Township,U.S. House,4,LIB,Chris Rockhold,0,0,0,0,0,0
Harvey,Newton Township AB,U.S. House,4,LIB,Chris Rockhold,0,0,0,0,0,0
Harvey,Newton Township CDE,U.S. House,4,LIB,Chris Rockhold,0,0,0,0,0,0
Harvey,Pleasant Township,U.S. House,4,LIB,Chris Rockhold,2,0,2,0,0,0
Harvey,Richland Township,U.S. House,4,LIB,Chris Rockhold,0,0,0,0,0,0
Harvey,Sedgwick Township,U.S. House,4,LIB,Chris Rockhold,0,0,0,0,0,0
Harvey,Walton Township,U.S. House,4,LIB,Chris Rockhold,2,0,1,1,0,0
Harvey,Total,U.S. House,4,LIB,Chris Rockhold,113,36,44,30,2,1
Harvey,Burrton City,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Halstead City 1W-1P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Halstead City 1W-2P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Hesston City 1W-1P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Hesston City 1W-2P,U.S. House,4,,Write-ins,2,1,0,0,0,1
Harvey,Newton City 1W-1P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 1W-2P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 1W-3P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 2W-1P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 2W-2P,U.S. House,4,,Write-ins,4,0,0,2,0,2
Harvey,Newton City 3W-1P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 3W-2P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 3W-3P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 3W-4P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 4W-1P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 4W-2P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 4W-3P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton City 4W-4P,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,North Newton,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Sedgwick City,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Walton City,U.S. House,4,,Write-ins,2,0,0,1,0,1
Harvey,Alta Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Burrton Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Darlington Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Darlington Twp North,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Emma Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Garden Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Halstead Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Highland Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Lake Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Lakin Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Macon Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton Township AB,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Newton Township CDE,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Pleasant Township,U.S. House,4,,Write-ins,1,0,1,0,0,0
Harvey,Richland Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Sedgwick Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Walton Township,U.S. House,4,,Write-ins,0,0,0,0,0,0
Harvey,Total,U.S. House,4,,Write-ins,9,1,1,3,0,4